Month,Percentage,State,Hospital Bed Needed,ICU Beds Needed
6,0.6,RI,7073.00 ,1528.00 
6,0.6,SC,31921.00 ,6926.00 
6,0.6,SD,5400.00 ,1169.00 
6,0.6,TN,42609.00 ,9193.00 
6,0.6,TX,165790.00 ,34983.00 
6,0.6,UT,16994.00 ,3561.00 
6,0.6,VA,53911.00 ,11530.00 
6,0.6,VT,4253.00 ,927.00 
6,0.6,WA,46125.00 ,9878.00 
6,0.6,WI,37374.00 ,8072.00 
6,0.6,WV,12374.00 ,2715.00 
6,0.6,WY,3701.00 ,794.00 
12,0.2,AK,747.00 ,155.00 
12,0.2,AL,5230.00 ,1131.00 
12,0.2,AR,3180.00 ,690.00 
12,0.2,AZ,7272.00 ,1581.00 
12,0.2,CA,41094.00 ,8737.00 
12,0.2,CO,5749.00 ,1220.00 
12,0.2,CT,3952.00 ,855.00 
12,0.2,DC,753.00 ,157.00 
12,0.2,DE,1039.00 ,226.00 
12,0.2,FL,22965.00 ,5072.00 
12,0.2,GA,10580.00 ,2245.00 
12,0.2,HI,1562.00 ,340.00 
12,0.2,IA,3344.00 ,726.00 
12,0.2,ID,1702.00 ,367.00 
12,0.2,IL,13705.00 ,2937.00 
12,0.2,IN,6993.00 ,1504.00 
12,0.2,KS,3038.00 ,654.00 
12,0.2,KY,4748.00 ,1023.00 
12,0.2,LA,4913.00 ,1052.00 
12,0.2,MA,7512.00 ,1617.00 
12,0.2,MD,6426.00 ,1374.00 
12,0.2,ME,1518.00 ,334.00 
12,0.2,MI,10773.00 ,2331.00 
12,0.2,MN,5835.00 ,1254.00 
12,0.2,MO,6541.00 ,1415.00 
12,0.2,MS,3139.00 ,675.00 
12,0.2,MT,1130.00 ,246.00 
12,0.2,NC,10792.00 ,2324.00 
12,0.2,ND,796.00 ,171.00 
12,0.2,NE,1980.00 ,427.00 
12,0.2,NH,1492.00 ,323.00 
12,0.2,NJ,9674.00 ,2082.00 
12,0.2,NM,2218.00 ,481.00 
12,0.2,NV,3075.00 ,660.00 
12,0.2,NY,21659.00 ,4658.00 
12,0.2,OH,12546.00 ,2717.00 
12,0.2,OK,4088.00 ,880.00 
12,0.2,OR,4419.00 ,958.00 
12,0.2,PA,14177.00 ,3087.00 
12,0.2,PR,3866.00 ,848.00 
12,0.2,RI,1179.00 ,255.00 
12,0.2,SC,5320.00 ,1154.00 
12,0.2,SD,900.00 ,195.00 
12,0.2,TN,7101.00 ,1532.00 
12,0.2,TX,27632.00 ,5830.00 
12,0.2,UT,2832.00 ,594.00 
12,0.2,VA,8985.00 ,1922.00 
12,0.2,VT,709.00 ,154.00 
12,0.2,WA,7688.00 ,1646.00 
12,0.2,WI,6229.00 ,1345.00 
12,0.2,WV,2062.00 ,453.00 
12,0.2,WY,617.00 ,132.00 
12,0.4,AK,1493.00 ,311.00 
12,0.4,AL,10460.00 ,2263.00 
12,0.4,AR,6359.00 ,1380.00 
12,0.4,AZ,14543.00 ,3163.00 
12,0.4,CA,82187.00 ,17474.00 
12,0.4,CO,11498.00 ,2440.00 
12,0.4,CT,7903.00 ,1709.00 
12,0.4,DC,1505.00 ,315.00 
12,0.4,DE,2077.00 ,453.00 
12,0.4,FL,45930.00 ,10144.00 
12,0.4,GA,21160.00 ,4490.00 
12,0.4,HI,3124.00 ,680.00 
12,0.4,IA,6688.00 ,1452.00 
12,0.4,ID,3405.00 ,734.00 
12,0.4,IL,27409.00 ,5875.00 
12,0.4,IN,13986.00 ,3007.00 
12,0.4,KS,6077.00 ,1308.00 
12,0.4,KY,9495.00 ,2047.00 
12,0.4,LA,9826.00 ,2104.00 
12,0.4,MA,15024.00 ,3234.00 
12,0.4,MD,12852.00 ,2748.00 
12,0.4,ME,3036.00 ,667.00 
12,0.4,MI,21545.00 ,4662.00 
12,0.4,MN,11669.00 ,2507.00 
12,0.4,MO,13082.00 ,2831.00 
12,0.4,MS,6279.00 ,1351.00 
12,0.4,MT,2259.00 ,493.00 
12,0.4,NC,21585.00 ,4648.00 
