State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Proejcted Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
ID,"3,267",333,0.51,0.53,"1,607","2,437",155,244,"1,222,764","242,449","733,658","153,215","33,049","10,214",6.36 ,4.19 ,3.13 ,"5,107",3.18 ,2.10 ,1.56 ,"3,331",2.07 ,1.37 ,1.02 ,"2,203",14.21 ,9.03 ,6.62 ,"1,102",7.11 ,4.52 ,3.31 ,718,4.63 ,2.94 ,2.16 
IL,"30,006","3,426",0.58,0.59,"12,580","21,293","1,410","2,418","9,895,529","1,847,932","5,937,317","1,233,422","264,370","82,228",6.54 ,3.86 ,2.74 ,"41,114",3.27 ,1.93 ,1.37 ,"26,814",2.13 ,1.26 ,0.89 ,"17,625",12.50 ,7.29 ,5.14 ,"8,812",6.25 ,3.64 ,2.57 ,"5,747",4.08 ,2.38 ,1.68 
IN,"17,433","2,358",0.56,0.59,"7,685","12,559",974,"1,666","5,036,563","968,568","3,021,938","629,377","135,316","41,958",5.46 ,3.34 ,2.41 ,"20,979",2.73 ,1.67 ,1.20 ,"13,682",1.78 ,1.09 ,0.78 ,"9,021",9.26 ,5.41 ,3.83 ,"4,511",4.63 ,2.71 ,1.91 ,"2,942",3.02 ,1.77 ,1.25 
KS,"9,120",878,0.53,0.55,"4,310","6,715",391,634,"2,185,546","426,273","1,311,328","273,450","58,880","18,230",4.23 ,2.71 ,2.00 ,"9,115",2.11 ,1.36 ,1.00 ,"5,945",1.38 ,0.89 ,0.65 ,"3,925",10.04 ,6.19 ,4.47 ,"1,963",5.02 ,3.10 ,2.24 ,"1,280",3.27 ,2.02 ,1.46 
KY,"13,150","1,447",0.6,0.65,"5,291","9,220",504,976,"3,411,784","672,706","2,047,070","427,288","92,113","28,486",5.38 ,3.09 ,2.17 ,"14,243",2.69 ,1.54 ,1.08 ,"9,289",1.76 ,1.01 ,0.71 ,"6,141",12.18 ,6.29 ,4.24 ,"3,070",6.09 ,3.15 ,2.12 ,"2,002",3.97 ,2.05 ,1.38 
LA,"13,881","1,518",0.57,0.58,"5,990","9,936",632,"1,075","3,550,728","655,848","2,130,437","442,166","94,666","29,478",4.92 ,2.97 ,2.12 ,"14,739",2.46 ,1.48 ,1.06 ,"9,612",1.60 ,0.97 ,0.69 ,"6,311",9.99 ,5.87 ,4.16 ,"3,156",4.99 ,2.94 ,2.08 ,"2,058",3.26 ,1.91 ,1.36 
MA,"13,759","1,555",0.74,0.63,"3,603","8,681",571,"1,063","5,405,787","1,049,751","3,243,472","676,095","145,511","45,073",12.51 ,5.19 ,3.28 ,"22,536",6.25 ,2.60 ,1.64 ,"14,698",4.08 ,1.69 ,1.07 ,"9,701",16.99 ,9.13 ,6.24 ,"4,850",8.49 ,4.56 ,3.12 ,"3,163",5.54 ,2.98 ,2.03 
MD,"11,249","1,227",0.71,0.66,"3,296","7,273",422,825,"4,648,466","849,185","2,789,080","578,329","123,677","38,555",11.70 ,5.30 ,3.43 ,"19,278",5.85 ,2.65 ,1.71 ,"12,572",3.81 ,1.73 ,1.12 ,"8,245",19.54 ,9.99 ,6.72 ,"4,123",9.77 ,5.00 ,3.36 ,"2,689",6.37 ,3.26 ,2.19 
ME,"3,310",288,0.7,0.63,980,"2,145",107,198,"1,073,331","250,131","643,999","136,617","30,021","9,108",9.29 ,4.25 ,2.75 ,"4,554",4.65 ,2.12 ,1.38 ,"2,970",3.03 ,1.38 ,0.90 ,"2,001",18.70 ,10.11 ,6.95 ,"1,001",9.36 ,5.06 ,3.48 ,653,6.10 ,3.30 ,2.27 
MI,"24,286","2,749",0.64,0.64,"8,855","16,571",976,"1,863","7,717,047","1,575,233","4,630,228","969,532","209,801","64,635",7.30 ,3.90 ,2.66 ,"32,318",3.65 ,1.95 ,1.33 ,"21,077",2.38 ,1.27 ,0.87 ,"13,987",14.33 ,7.51 ,5.09 ,"6,993",7.16 ,3.75 ,2.54 ,"4,561",4.67 ,2.45 ,1.66 
MN,"13,423","1,277",0.66,0.65,"4,605","9,014",452,864,"4,204,388","803,718","2,522,633","525,112","112,828","35,007",7.60 ,3.88 ,2.61 ,"17,504",3.80 ,1.94 ,1.30 ,"11,415",2.48 ,1.27 ,0.85 ,"7,522",16.64 ,8.71 ,5.89 ,"3,761",8.32 ,4.35 ,2.95 ,"2,453",5.43 ,2.84 ,1.92 
MO,"17,087","2,092",0.6,0.58,"6,884","11,985",874,"1,483","4,685,891","956,032","2,811,535","588,685","127,381","39,246",5.70 ,3.27 ,2.30 ,"19,623",2.85 ,1.64 ,1.15 ,"12,798",1.86 ,1.07 ,0.75 ,"8,492",9.72 ,5.73 ,4.06 ,"4,246",4.86 ,2.86 ,2.03 ,"2,769",3.17 ,1.87 ,1.32 
MS,"11,877",931,0.56,0.58,"5,255","8,566",392,661,"2,259,919","437,027","1,355,951","282,541","60,782","18,836",3.58 ,2.20 ,1.59 ,"9,418",1.79 ,1.10 ,0.79 ,"6,142",1.17 ,0.72 ,0.52 ,"4,052",10.34 ,6.13 ,4.35 ,"2,026",5.17 ,3.07 ,2.18 ,"1,321",3.37 ,2.00 ,1.42 
MT,"3,667",248,0.58,0.55,"1,541","2,604",113,180,"803,704","176,138","482,222","101,662","22,177","6,777",4.40 ,2.60 ,1.85 ,"3,389",2.20 ,1.30 ,0.92 ,"2,210",1.43 ,0.85 ,0.60 ,"1,478",13.08 ,8.21 ,5.96 ,739,6.54 ,4.11 ,2.98 ,482,4.27 ,2.68 ,1.94 
NC,"21,065","3,168",0.7,0.71,"6,288","13,676",911,"2,040","7,762,882","1,514,937","4,657,729","971,320","209,161","64,755",10.30 ,4.73 ,3.07 ,"32,377",5.15 ,2.37 ,1.54 ,"21,116",3.36 ,1.54 ,1.00 ,"13,944",15.31 ,6.84 ,4.40 ,"6,972",7.65 ,3.42 ,2.20 ,"4,547",4.99 ,2.23 ,1.44 
ND,"3,371",278,0.58,0.66,"1,420","2,395",95,187,"575,105","107,196","345,063","71,672","15,359","4,778",3.36 ,1.99 ,1.42 ,"2,389",1.68 ,1.00 ,0.71 ,"1,558",1.10 ,0.65 ,0.46 ,"1,024",10.78 ,5.48 ,3.68 ,512,5.39 ,2.74 ,1.84 ,334,3.52 ,1.79 ,1.20 
NE,"5,872",548,0.55,0.63,"2,630","4,251",202,375,"1,424,102","278,598","854,461","178,228","38,389","11,882",4.52 ,2.80 ,2.02 ,"5,941",2.26 ,1.40 ,1.01 ,"3,875",1.47 ,0.91 ,0.66 ,"2,559",12.67 ,6.82 ,4.67 ,"1,280",6.34 ,3.41 ,2.34 ,835,4.13 ,2.23 ,1.52 
NH,"2,598",252,0.64,0.56,939,"1,768",110,181,"1,067,991","219,293","640,795","134,251","29,070","8,950",9.53 ,5.06 ,3.44 ,"4,475",4.77 ,2.53 ,1.72 ,"2,918",3.11 ,1.65 ,1.12 ,"1,938",17.62 ,10.71 ,7.69 ,969,8.81 ,5.35 ,3.85 ,632,5.75 ,3.49 ,2.51 
NJ,"20,450","1,891",0.67,0.55,"6,688","13,569",846,"1,368","6,960,340","1,353,999","4,176,204","870,657","187,420","58,044",8.68 ,4.28 ,2.84 ,"29,022",4.34 ,2.14 ,1.42 ,"18,927",2.83 ,1.39 ,0.93 ,"12,495",14.77 ,9.13 ,6.61 ,"6,247",7.38 ,4.57 ,3.30 ,"4,074",4.82 ,2.98 ,2.15 
NM,"3,460",460,0.6,0.59,"1,368","2,414",188,324,"1,587,101","328,682","952,261","199,664","43,276","13,311",9.73 ,5.51 ,3.85 ,"6,655",4.86 ,2.76 ,1.92 ,"4,341",3.17 ,1.80 ,1.25 ,"2,885",15.35 ,8.90 ,6.27 ,"1,443",7.68 ,4.45 ,3.14 ,941,5.01 ,2.90 ,2.05 
NV,"5,610","1,118",0.72,0.78,"1,548","3,579",248,683,"2,217,723","420,330","1,330,634","276,779","59,416","18,452",11.92 ,5.16 ,3.29 ,"9,226",5.96 ,2.58 ,1.64 ,"6,017",3.89 ,1.68 ,1.07 ,"3,961",15.97 ,5.80 ,3.54 ,"1,981",7.99 ,2.90 ,1.77 ,"1,292",5.21 ,1.89 ,1.16 
