Month,Percentage,City,State,Percentage of Potentially Available Beds Needed,Percentage of Potentially Available ICU Beds Needed
6,0.2,Jackson,MS,0.69 ,1.71 
6,0.2,Jackson,TN,0.97 ,1.84 
6,0.2,Jacksonville,FL,1.13 ,2.00 
6,0.2,Johnson City,TN,1.02 ,2.18 
6,0.2,Johnstown,PA,0.84 ,3.11 
6,0.2,Joliet,IL,1.40 ,3.00 
6,0.2,Jonesboro,AR,0.75 ,2.26 
6,0.2,Joplin,MO,1.03 ,1.80 
6,0.2,Kalamazoo,MI,1.35 ,3.93 
6,0.2,Kansas City,MO,1.15 ,2.14 
6,0.2,Kettering,OH,1.41 ,2.28 
6,0.2,Kingsport,TN,0.99 ,1.82 
6,0.2,Knoxville,TN,1.42 ,3.68 
6,0.2,La Crosse,WI,1.68 ,2.80 
6,0.2,Lafayette,IN,1.68 ,4.79 
6,0.2,Lafayette,LA,1.09 ,2.06 
6,0.2,Lake Charles,LA,0.93 ,2.00 
6,0.2,Lakeland,FL,1.26 ,2.46 
6,0.2,Lancaster,PA,1.91 ,4.67 
6,0.2,Lansing,MI,1.50 ,1.88 
6,0.2,Las Vegas,NV,1.80 ,2.19 
6,0.2,Lawton,OK,0.78 ,1.69 
6,0.2,Lebanon,NH,1.43 ,2.51 
6,0.2,Lexington,KY,0.93 ,1.90 
6,0.2,Lincoln,NE,0.84 ,3.69 
6,0.2,Little Rock,AR,0.97 ,2.12 
6,0.2,Longview,TX,2.80 ,2.97 
6,0.2,Los Angeles,CA,1.65 ,2.71 
6,0.2,Louisville,KY,1.32 ,2.48 
6,0.2,Lubbock,TX,1.10 ,1.66 
6,0.2,Lynchburg,VA,0.83 ,3.65 
6,0.2,Macon,GA,1.00 ,2.29 
6,0.2,Madison,WI,1.50 ,2.72 
6,0.2,Manchester,NH,1.82 ,4.53 
6,0.2,Manhattan,NY,1.28 ,2.39 
6,0.2,Marquette,MI,1.03 ,3.13 
6,0.2,Marshfield,WI,1.70 ,3.63 
6,0.2,Mason City,IA,0.81 ,5.33 
6,0.2,McAllen,TX,0.95 ,1.16 
6,0.2,Medford,OR,1.65 ,4.63 
6,0.2,Melrose Park,IL,1.42 ,2.58 
6,0.2,Memphis,TN,1.06 ,2.36 
6,0.2,Meridian,MS,0.53 ,2.39 
6,0.2,Mesa,AZ,2.30 ,3.38 
6,0.2,Metairie,LA,1.62 ,2.85 
6,0.2,Miami,FL,1.26 ,2.60 
6,0.2,Milwaukee,WI,1.54 ,2.16 
6,0.2,Minneapolis,MN,1.51 ,3.59 
6,0.2,Minot,ND,0.48 ,4.71 
6,0.2,Missoula,MT,1.22 ,3.32 
6,0.2,Mobile,AL,1.32 ,2.06 
6,0.2,Modesto,CA,1.93 ,4.94 
6,0.2,Monroe,LA,0.70 ,1.78 
6,0.2,Montgomery,AL,1.19 ,2.24 
6,0.2,Morgantown,WV,0.90 ,2.06 
6,0.2,Morristown,NJ,1.81 ,4.73 
6,0.2,Muncie,IN,1.43 ,3.59 
6,0.2,Munster,IN,0.62 ,1.93 
6,0.2,Muskegon,MI,1.56 ,2.61 
6,0.2,Napa,CA,2.04 ,2.45 
6,0.2,Nashville,TN,1.17 ,1.88 
6,0.2,Neenah,WI,1.51 ,3.31 
6,0.2,New Brunswick,NJ,1.67 ,2.94 
6,0.2,New Haven,CT,1.92 ,3.53 
6,0.2,New Orleans,LA,0.91 ,1.65 
6,0.2,Newark,NJ,1.45 ,2.38 
6,0.2,Newport News,VA,2.16 ,2.83 
6,0.2,Norfolk,VA,1.69 ,3.34 
6,0.2,Ocala,FL,2.31 ,3.28 
6,0.2,Odessa,TX,0.99 ,2.33 
6,0.2,Ogden,UT,1.73 ,2.67 
6,0.2,Oklahoma City,OK,1.03 ,2.19 
6,0.2,Olympia,WA,2.47 ,3.65 
6,0.2,Omaha,NE,0.98 ,1.91 
6,0.2,Orange County,CA,1.82 ,3.17 
6,0.2,Orlando,FL,1.33 ,2.24 
6,0.2,Ormond Beach,FL,1.62 ,2.08 
6,0.2,Owensboro,KY,1.12 ,2.76 
6,0.2,Oxford,MS,0.55 ,3.14 
6,0.2,Paducah,KY,0.73 ,2.09 
6,0.2,Palm Springs/Rancho Mira,CA,1.30 ,4.43 
6,0.2,Paterson,NJ,1.02 ,3.88 
6,0.2,Pensacola,FL,1.29 ,2.41 
6,0.2,Peoria,IL,1.12 ,2.54 
6,0.2,Petoskey,MI,1.25 ,2.02 
6,0.2,Philadelphia,PA,1.29 ,2.20 
6,0.2,Phoenix,AZ,1.61 ,2.40 
6,0.2,Pittsburgh,PA,1.21 ,1.93 
6,0.2,Pontiac,MI,1.70 ,3.11 
6,0.2,Portland,ME,1.53 ,3.57 
6,0.2,Portland,OR,1.91 ,2.80 
6,0.2,Providence,RI,1.87 ,3.14 
6,0.2,Provo,UT,1.77 ,2.78 
6,0.2,Pueblo,CO,0.92 ,5.06 
6,0.2,Raleigh,NC,1.95 ,3.63 
6,0.2,Rapid City,SD,0.80 ,3.21 
6,0.2,Reading,PA,1.39 ,3.80 
6,0.2,Redding,CA,1.46 ,2.07 
6,0.2,Reno,NV,1.33 ,1.38 
6,0.2,Richmond,VA,1.31 ,2.74 
6,0.2,Ridgewood,NJ,1.73 ,3.42 
6,0.2,Roanoke,VA,1.15 ,1.83 
6,0.2,Rochester,MN,0.74 ,1.19 
6,0.2,Rochester,NY,1.26 ,3.33 
6,0.2,Rockford,IL,1.60 ,2.29 
6,0.2,Rome,GA,1.29 ,2.98 
6,0.2,Royal Oak,MI,0.86 ,1.60 
6,0.2,Sacramento,CA,2.03 ,2.96 
6,0.2,Saginaw,MI,0.83 ,2.29 
6,0.2,Salem,OR,2.21 ,4.14 
6,0.2,Salinas,CA,1.62 ,3.28 
6,0.2,Salisbury,MD,2.72 ,5.56 
6,0.2,Salt Lake City,UT,1.46 ,2.23 
6,0.2,San Angelo,TX,0.78 ,2.92 
6,0.2,San Antonio,TX,1.38 ,2.66 
6,0.2,San Bernardino,CA,1.68 ,3.00 
6,0.2,San Diego,CA,2.03 ,3.01 
6,0.2,San Francisco,CA,1.43 ,2.35 
6,0.2,San Jose,CA,2.30 ,3.45 
6,0.2,San Luis Obispo,CA,2.03 ,2.98 
6,0.2,San Mateo County,CA,1.85 ,2.78 
6,0.2,Santa Barbara,CA,1.81 ,3.63 
6,0.2,Santa Cruz,CA,2.39 ,9.57 
6,0.2,Santa Rosa,CA,1.44 ,3.58 
6,0.2,Sarasota,FL,1.20 ,2.33 
6,0.2,Savannah,GA,1.45 ,3.87 
6,0.2,Sayre,PA,1.08 ,2.13 
6,0.2,Scranton,PA,1.31 ,3.33 
6,0.2,Seattle,WA,2.20 ,3.30 
6,0.2,Shreveport,LA,0.84 ,1.63 
6,0.2,Sioux City,IA,0.86 ,2.90 
6,0.2,Sioux Falls,SD,0.59 ,4.78 
6,0.2,Slidell,LA,0.96 ,0.89 
6,0.2,South Bend,IN,1.65 ,2.98 
6,0.2,Spartanburg,SC,1.55 ,1.94 
6,0.2,Spokane,WA,1.27 ,3.00 
6,0.2,Springdale,AR,1.37 ,2.47 
6,0.2,Springfield,IL,1.00 ,2.71 
6,0.2,Springfield,MA,1.61 ,2.71 
6,0.2,Springfield,MO,1.35 ,2.94 
6,0.2,St. Cloud,MN,1.00 ,3.90 
6,0.2,St. Joseph,MI,0.99 ,4.93 
6,0.2,St. Louis,MO,1.02 ,1.86 
6,0.2,St. Paul,MN,2.16 ,4.33 
6,0.2,St. Petersburg,FL,1.00 ,2.62 
6,0.2,Stockton,CA,2.05 ,3.33 
6,0.2,Sun City,AZ,1.22 ,1.77 
6,0.2,Syracuse,NY,1.16 ,3.13 
6,0.2,Tacoma,WA,2.01 ,2.91 
6,0.2,Takoma Park,MD,2.92 ,4.59 
6,0.2,Tallahassee,FL,1.30 ,3.22 
6,0.2,Tampa,FL,1.22 ,2.04 
6,0.2,Temple,TX,1.62 ,2.20 
6,0.2,Terre Haute,IN,1.16 ,1.70 
6,0.2,Texarkana,AR,1.08 ,1.61 
6,0.2,Toledo,OH,1.13 ,1.46 
6,0.2,Topeka,KS,1.03 ,2.64 
6,0.2,Traverse City,MI,1.04 ,7.24 
6,0.2,Tucson,AZ,1.43 ,2.45 
6,0.2,Tulsa,OK,1.00 ,1.99 
6,0.2,Tupelo,MS,0.70 ,2.23 
6,0.2,Tuscaloosa,AL,0.87 ,1.40 
6,0.2,Tyler,TX,1.32 ,1.53 
6,0.2,Urbana,IL,1.31 ,2.81 
6,0.2,Ventura,CA,2.72 ,3.10 
6,0.2,Victoria,TX,0.70 ,2.22 
6,0.2,Waco,TX,1.51 ,3.81 
6,0.2,Washington,DC,1.80 ,3.12 
6,0.2,Waterloo,IA,0.93 ,3.68 
6,0.2,Wausau,WI,1.54 ,1.59 
6,0.2,White Plains,NY,1.40 ,2.84 
6,0.2,Wichita Falls,TX,1.06 ,5.88 
6,0.2,Wichita,KS,0.78 ,1.80 
6,0.2,Wilkes-Barre,PA,1.23 ,1.97 
6,0.2,Wilmington,DE,1.44 ,2.54 
6,0.2,Wilmington,NC,1.74 ,4.44 
6,0.2,Winchester,VA,1.39 ,4.02 
6,0.2,Winston-Salem,NC,1.36 ,2.05 
6,0.2,Worcester,MA,1.85 ,3.65 
6,0.2,Yakima,WA,2.14 ,2.91 
6,0.2,York,PA,1.70 ,4.88 
6,0.2,Youngstown,OH,1.34 ,2.79 
6,0.4,Akron,OH,3.26 ,4.72 
6,0.4,Alameda County,CA,4.28 ,7.04 
6,0.4,Albany,GA,1.89 ,4.37 
6,0.4,Albany,NY,2.60 ,5.84 
6,0.4,Albuquerque,NM,3.73 ,6.01 
6,0.4,Alexandria,LA,1.87 ,8.61 
6,0.4,Allentown,PA,2.38 ,4.93 
6,0.4,Altoona,PA,3.38 ,6.68 
6,0.4,Amarillo,TX,1.92 ,2.88 
6,0.4,Anchorage,AK,2.82 ,6.68 
6,0.4,Ann Arbor,MI,3.18 ,5.02 
6,0.4,Appleton,WI,4.24 ,5.70 
6,0.4,Arlington,VA,5.04 ,6.93 
6,0.4,Asheville,NC,3.03 ,4.60 
6,0.4,Atlanta,GA,3.41 ,5.64 
6,0.4,Augusta,GA,1.99 ,2.85 
6,0.4,Aurora,IL,3.28 ,6.93 
6,0.4,Austin,TX,4.37 ,6.20 
6,0.4,Bakersfield,CA,2.95 ,6.89 
6,0.4,Baltimore,MD,2.53 ,4.18 
6,0.4,Bangor,ME,2.42 ,6.25 
6,0.4,Baton Rouge,LA,2.02 ,4.74 
6,0.4,Beaumont,TX,2.98 ,5.42 
6,0.4,Bend,OR,3.63 ,8.89 
6,0.4,Billings,MT,1.58 ,5.43 
6,0.4,Binghamton,NY,2.36 ,10.17 
6,0.4,Birmingham,AL,1.97 ,3.22 
6,0.4,Bismarck,ND,1.47 ,3.58 
6,0.4,Bloomington,IL,2.95 ,8.09 
6,0.4,Blue Island,IL,2.84 ,3.79 
6,0.4,Boise,ID,2.97 ,5.94 
6,0.4,Boston,MA,3.50 ,6.03 
6,0.4,Boulder,CO,3.12 ,4.60 
6,0.4,Bradenton,FL,2.68 ,4.68 
6,0.4,Bridgeport,CT,3.47 ,6.48 
6,0.4,Bronx,NY,2.48 ,6.33 
6,0.4,Bryan,TX,2.79 ,5.33 
6,0.4,Buffalo,NY,2.06 ,6.37 
6,0.4,Burlington,VT,2.50 ,6.90 
6,0.4,Camden,NJ,2.82 ,5.46 
6,0.4,Canton,OH,2.61 ,4.01 
6,0.4,Cape Girardeau,MO,1.82 ,4.03 
6,0.4,Casper,WY,1.70 ,7.15 
6,0.4,Cedar Rapids,IA,2.26 ,8.61 
6,0.4,Charleston,SC,2.57 ,5.20 
6,0.4,Charleston,WV,1.95 ,4.28 
6,0.4,Charlotte,NC,3.52 ,4.65 
6,0.4,Charlottesville,VA,3.04 ,6.12 
6,0.4,Chattanooga,TN,2.47 ,4.52 
6,0.4,Chicago,IL,2.04 ,3.82 
6,0.4,Chico,CA,3.92 ,8.00 
6,0.4,Cincinnati,OH,2.68 ,4.10 
6,0.4,Clearwater,FL,2.21 ,5.66 
6,0.4,Cleveland,OH,1.83 ,3.31 
6,0.4,Colorado Springs,CO,4.02 ,7.48 
6,0.4,Columbia,MO,2.24 ,4.90 
6,0.4,Columbia,SC,2.66 ,4.24 
6,0.4,Columbus,GA,1.87 ,6.07 
6,0.4,Columbus,OH,2.88 ,6.23 
6,0.4,Contra Costa County,CA,3.90 ,7.08 
6,0.4,Corpus Christi,TX,3.27 ,5.13 
6,0.4,Covington,KY,3.25 ,5.80 
6,0.4,Dallas,TX,2.99 ,5.14 
6,0.4,Danville,PA,2.48 ,5.73 
6,0.4,Davenport,IA,1.85 ,4.60 
6,0.4,Dayton,OH,3.29 ,5.25 
6,0.4,Dearborn,MI,2.24 ,3.23 
6,0.4,Denver,CO,3.31 ,4.71 
6,0.4,Des Moines,IA,2.45 ,8.32 
6,0.4,Detroit,MI,2.68 ,4.68 
6,0.4,Dothan,AL,1.78 ,5.04 
6,0.4,Dubuque,IA,1.90 ,11.92 
6,0.4,Duluth,MN,1.70 ,2.35 
6,0.4,Durham,NC,2.18 ,2.57 
6,0.4,East Long Island,NY,3.81 ,7.86 
6,0.4,El Paso,TX,3.25 ,6.07 
6,0.4,Elgin,IL,3.91 ,6.82 
6,0.4,Elmira,NY,2.06 ,5.85 
6,0.4,Elyria,OH,3.38 ,5.86 
6,0.4,Erie,PA,2.43 ,5.13 
6,0.4,Eugene,OR,4.21 ,7.44 
6,0.4,Evanston,IL,2.98 ,3.76 
6,0.4,Evansville,IN,1.86 ,2.67 
6,0.4,Everett,WA,4.75 ,11.78 
6,0.4,Fargo/Moorhead MN,ND,1.86 ,4.61 
6,0.4,Flint,MI,2.61 ,4.75 
6,0.4,Florence,SC,1.87 ,2.34 
