HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Abilene, TX",980,127,565,772,68,98,"226,444","50,412","135,866","28,688","6,270","1,913",3.39 ,2.48 ,1.95 ,956.00 ,1.69 ,1.24 ,0.98 ,624.00 ,1.10 ,0.81 ,0.64 ,418.00 ,6.15 ,4.27 ,3.29 ,209.00 ,3.07 ,2.13 ,1.65 ,136.00 ,2.00 ,1.39 ,1.07 
"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042","328,794","68,800","14,876","4,587",8.86 ,4.89 ,3.38 ,2293.00 ,4.43 ,2.44 ,1.69 ,1496.00 ,2.89 ,1.59 ,1.10 ,992.00 ,10.55 ,7.09 ,5.33 ,496.00 ,5.28 ,3.54 ,2.67 ,323.00 ,3.44 ,2.31 ,1.74 
"Alameda County, CA","2,695",293,665,"1,680",139,216,"1,310,189","214,991","786,113","161,616","34,200","10,774",16.20 ,6.41 ,4.00 ,5387.00 ,8.10 ,3.21 ,2.00 ,3513.00 ,5.28 ,2.09 ,1.30 ,2280.00 ,16.40 ,10.56 ,7.78 ,1140.00 ,8.20 ,5.28 ,3.89 ,743.00 ,5.35 ,3.44 ,2.54 
"Albany, GA",704,60,221,462,27,43,"157,143","30,466","94,286","19,651","4,229","1,310",5.93 ,2.84 ,1.86 ,655.00 ,2.96 ,1.42 ,0.93 ,427.00 ,1.93 ,0.92 ,0.61 ,282.00 ,10.44 ,6.56 ,4.70 ,141.00 ,5.22 ,3.28 ,2.35 ,92.00 ,3.41 ,2.14 ,1.53 
"Albany, NY","4,804",425,"1,579","3,191",193,309,"1,477,723","318,695","886,634","186,626","40,636","12,442",7.88 ,3.90 ,2.59 ,6221.00 ,3.94 ,1.95 ,1.29 ,4057.00 ,2.57 ,1.27 ,0.84 ,2709.00 ,14.04 ,8.77 ,6.37 ,1355.00 ,7.02 ,4.39 ,3.19 ,883.00 ,4.58 ,2.86 ,2.08 
"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457","802,077","168,324","36,521","11,222",10.18 ,5.60 ,3.86 ,5611.00 ,5.09 ,2.80 ,1.93 ,3659.00 ,3.32 ,1.82 ,1.26 ,2435.00 ,15.12 ,9.02 ,6.41 ,1217.00 ,7.56 ,4.51 ,3.20 ,794.00 ,4.93 ,2.94 ,2.09 
"Alexandria, LA",917,43,402,660,20,31,"221,597","44,519","132,958","27,800","6,005","1,853",4.61 ,2.81 ,2.02 ,927.00 ,2.31 ,1.40 ,1.01 ,604.00 ,1.50 ,0.92 ,0.66 ,400.00 ,20.00 ,12.90 ,9.30 ,200.00 ,10.00 ,6.45 ,4.65 ,131.00 ,6.55 ,4.23 ,3.05 
"Allentown, PA","3,267",334,"1,267","2,267",143,238,"960,572","207,376","576,343","121,326","26,421","8,088",6.38 ,3.57 ,2.48 ,4044.00 ,3.19 ,1.78 ,1.24 ,2638.00 ,2.08 ,1.16 ,0.81 ,1761.00 ,12.31 ,7.40 ,5.27 ,881.00 ,6.16 ,3.70 ,2.64 ,574.00 ,4.01 ,2.41 ,1.72 
"Altoona, PA",555,61,234,394,27,44,"234,560","56,483","140,736","29,959","6,610","1,997",8.53 ,5.07 ,3.60 ,999.00 ,4.27 ,2.54 ,1.80 ,651.00 ,2.78 ,1.65 ,1.17 ,441.00 ,16.33 ,10.02 ,7.23 ,220.00 ,8.15 ,5.00 ,3.61 ,144.00 ,5.33 ,3.27 ,2.36 
"Amarillo, TX","1,236",194,678,957,79,137,"332,671","61,267","199,603","41,417","8,864","2,761",4.07 ,2.89 ,2.23 ,1381.00 ,2.04 ,1.44 ,1.12 ,900.00 ,1.33 ,0.94 ,0.73 ,591.00 ,7.48 ,4.31 ,3.05 ,295.00 ,3.73 ,2.15 ,1.52 ,193.00 ,2.44 ,1.41 ,0.99 
