HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Anchorage, AK","1,583",130,533,"1,058",55,93,"551,912","74,327","331,147","67,155","13,967","4,477",8.40 ,4.23 ,2.83 ,2238.00 ,4.20 ,2.12 ,1.41 ,1460.00 ,2.74 ,1.38 ,0.92 ,931.00 ,16.93 ,10.01 ,7.16 ,466.00 ,8.47 ,5.01 ,3.58 ,304.00 ,5.53 ,3.27 ,2.34 
"Ann Arbor, MI","3,014",406,876,"1,945",122,264,"1,115,589","209,105","669,353","139,096","29,825","9,273",10.59 ,4.77 ,3.08 ,4637.00 ,5.29 ,2.38 ,1.54 ,3024.00 ,3.45 ,1.55 ,1.00 ,1988.00 ,16.30 ,7.53 ,4.90 ,994.00 ,8.15 ,3.77 ,2.45 ,648.00 ,5.31 ,2.45 ,1.60 
"Appleton, WI",448,72,222,335,37,54,"254,546","52,373","152,728","32,004","6,931","2,134",9.61 ,6.37 ,4.76 ,1067.00 ,4.81 ,3.19 ,2.38 ,696.00 ,3.14 ,2.08 ,1.55 ,462.00 ,12.49 ,8.56 ,6.42 ,231.00 ,6.24 ,4.28 ,3.21 ,151.00 ,4.08 ,2.80 ,2.10 
"Arlington, VA","3,116",450,995,"2,055",173,312,"1,909,537","270,129","1,145,722","233,085","48,674","15,539",15.62 ,7.56 ,4.99 ,7770.00 ,7.81 ,3.78 ,2.49 ,5067.00 ,5.09 ,2.47 ,1.63 ,3245.00 ,18.76 ,10.40 ,7.21 ,1622.00 ,9.38 ,5.20 ,3.60 ,1058.00 ,6.12 ,3.39 ,2.35 
"Asheville, NC","1,541",232,556,"1,048",76,154,"553,131","146,572","331,879","71,412","15,949","4,761",8.56 ,4.54 ,3.09 ,2380.00 ,4.28 ,2.27 ,1.54 ,1552.00 ,2.79 ,1.48 ,1.01 ,1063.00 ,13.99 ,6.90 ,4.58 ,532.00 ,7.00 ,3.45 ,2.29 ,347.00 ,4.57 ,2.25 ,1.50 
"Atlanta, GA","12,780","1,621","3,338","8,059",436,"1,029","5,027,281","799,338","3,016,369","618,672","130,533","41,245",12.36 ,5.12 ,3.23 ,20622.00 ,6.18 ,2.56 ,1.61 ,13449.00 ,4.03 ,1.67 ,1.05 ,8702.00 ,19.96 ,8.46 ,5.37 ,4351.00 ,9.98 ,4.23 ,2.68 ,2838.00 ,6.51 ,2.76 ,1.75 
"Augusta, GA","2,194",349,831,"1,512",106,227,"540,242","105,665","324,145","67,610","14,563","4,507",5.42 ,2.98 ,2.05 ,2254.00 ,2.71 ,1.49 ,1.03 ,1470.00 ,1.77 ,0.97 ,0.67 ,971.00 ,9.16 ,4.28 ,2.78 ,485.00 ,4.58 ,2.14 ,1.39 ,317.00 ,2.99 ,1.40 ,0.91 
"Aurora, IL",527,55,286,406,25,40,"245,644","34,035","147,386","29,943","6,242","1,996",6.98 ,4.92 ,3.79 ,998.00 ,3.49 ,2.46 ,1.89 ,651.00 ,2.28 ,1.60 ,1.24 ,416.00 ,16.64 ,10.40 ,7.56 ,208.00 ,8.32 ,5.20 ,3.78 ,136.00 ,5.44 ,3.40 ,2.47 
"Austin, TX","2,775",393,"1,003","1,889",161,277,"1,523,446","208,426","914,068","185,553","38,641","12,370",12.33 ,6.55 ,4.46 ,6185.00 ,6.17 ,3.27 ,2.23 ,4034.00 ,4.02 ,2.14 ,1.45 ,2576.00 ,16.00 ,9.30 ,6.55 ,1288.00 ,8.00 ,4.65 ,3.28 ,840.00 ,5.22 ,3.03 ,2.14 
"Bakersfield, CA","2,429",191,692,"1,561",88,140,"847,115","123,309","508,269","103,600","21,687","6,907",9.98 ,4.42 ,2.84 ,3453.00 ,4.99 ,2.21 ,1.42 ,2252.00 ,3.25 ,1.44 ,0.93 ,1446.00 ,16.43 ,10.33 ,7.57 ,723.00 ,8.22 ,5.16 ,3.79 ,471.00 ,5.35 ,3.36 ,2.47 
"Baltimore, MD","6,931",844,"1,887","4,409",303,574,"2,015,003","379,769","1,209,002","251,357","53,927","16,757",8.88 ,3.80 ,2.42 ,8379.00 ,4.44 ,1.90 ,1.21 ,5464.00 ,2.90 ,1.24 ,0.79 ,3595.00 ,11.86 ,6.26 ,4.26 ,1798.00 ,5.93 ,3.13 ,2.13 ,1172.00 ,3.87 ,2.04 ,1.39 
"Bangor, ME","1,094",100,400,747,28,64,"318,554","77,904","191,132","40,756","9,009","2,717",6.79 ,3.64 ,2.48 ,1359.00 ,3.40 ,1.82 ,1.24 ,886.00 ,2.22 ,1.19 ,0.81 ,601.00 ,21.46 ,9.39 ,6.01 ,300.00 ,10.71 ,4.69 ,3.00 ,196.00 ,7.00 ,3.06 ,1.96 
"Baton Rouge, LA","2,898",249,"1,159","2,028",119,184,"746,856","127,072","448,114","92,385","19,617","6,159",5.31 ,3.04 ,2.13 ,3080.00 ,2.66 ,1.52 ,1.06 ,2008.00 ,1.73 ,0.99 ,0.69 ,1308.00 ,10.99 ,7.11 ,5.25 ,654.00 ,5.50 ,3.55 ,2.63 ,426.00 ,3.58 ,2.32 ,1.71 
"Beaumont, TX",908,114,421,665,43,79,"356,372","70,621","213,823","44,652","9,631","2,977",7.07 ,4.48 ,3.28 ,1488.00 ,3.53 ,2.24 ,1.64 ,971.00 ,2.31 ,1.46 ,1.07 ,642.00 ,14.93 ,8.13 ,5.63 ,321.00 ,7.47 ,4.06 ,2.82 ,209.00 ,4.86 ,2.65 ,1.83 
"Bend, OR",415,38,182,298,17,27,"189,876","47,299","113,926","24,342","5,393","1,623",8.92 ,5.45 ,3.91 ,811.00 ,4.46 ,2.72 ,1.95 ,529.00 ,2.91 ,1.78 ,1.27 ,360.00 ,21.18 ,13.33 ,9.47 ,180.00 ,10.59 ,6.67 ,4.74 ,117.00 ,6.88 ,4.33 ,3.08 
"Billings, MT","2,432",148,931,"1,681",65,106,"476,520","97,688","285,912","59,891","12,966","3,993",4.29 ,2.38 ,1.64 ,1996.00 ,2.14 ,1.19 ,0.82 ,1302.00 ,1.40 ,0.77 ,0.54 ,864.00 ,13.29 ,8.15 ,5.84 ,432.00 ,6.65 ,4.08 ,2.92 ,282.00 ,4.34 ,2.66 ,1.91 
"Binghamton, NY","1,005",54,365,685,17,35,"286,154","67,043","171,692","36,443","8,013","2,430",6.66 ,3.55 ,2.42 ,1215.00 ,3.33 ,1.77 ,1.21 ,792.00 ,2.17 ,1.16 ,0.79 ,534.00 ,31.41 ,15.26 ,9.89 ,267.00 ,15.71 ,7.63 ,4.94 ,174.00 ,10.24 ,4.97 ,3.22 
"Birmingham, AL","7,297",991,"2,756","5,027",342,666,"1,774,690","364,610","1,064,814","223,097","48,312","14,873",5.40 ,2.96 ,2.04 ,7437.00 ,2.70 ,1.48 ,1.02 ,4850.00 ,1.76 ,0.96 ,0.66 ,3221.00 ,9.42 ,4.84 ,3.25 ,1610.00 ,4.71 ,2.42 ,1.62 ,1050.00 ,3.07 ,1.58 ,1.06 
"Bismarck, ND",970,80,422,696,43,62,"182,581","38,811","109,549","23,027","5,006","1,535",3.64 ,2.21 ,1.58 ,768.00 ,1.82 ,1.10 ,0.79 ,501.00 ,1.19 ,0.72 ,0.52 ,334.00 ,7.77 ,5.39 ,4.18 ,167.00 ,3.88 ,2.69 ,2.09 ,109.00 ,2.53 ,1.76 ,1.36 
"Bloomington, IL",394,35,201,298,10,23,"160,796","25,937","96,478","19,809","4,185","1,321",6.57 ,4.43 ,3.35 ,660.00 ,3.28 ,2.21 ,1.68 ,431.00 ,2.14 ,1.45 ,1.09 ,279.00 ,27.90 ,12.13 ,7.97 ,140.00 ,14.00 ,6.09 ,4.00 ,91.00 ,9.10 ,3.96 ,2.60 
"Blue Island, IL","2,053",308,583,"1,318",118,213,"670,968","134,483","402,581","84,156","18,174","5,610",9.62 ,4.26 ,2.73 ,2805.00 ,4.81 ,2.13 ,1.37 ,1829.00 ,3.14 ,1.39 ,0.89 ,1212.00 ,10.27 ,5.69 ,3.94 ,606.00 ,5.14 ,2.85 ,1.97 ,395.00 ,3.35 ,1.85 ,1.28 
"Boise, ID","1,773",186,848,"1,310",95,141,"701,166","134,953","420,700","87,625","18,841","5,842",6.89 ,4.46 ,3.29 ,2921.00 ,3.44 ,2.23 ,1.65 ,1905.00 ,2.25 ,1.45 ,1.07 ,1256.00 ,13.22 ,8.91 ,6.75 ,628.00 ,6.61 ,4.45 ,3.38 ,410.00 ,4.32 ,2.91 ,2.20 
"Boston, MA","10,239","1,157","2,548","6,393",438,798,"4,022,208","782,014","2,413,325","503,107","108,294","33,540",13.16 ,5.25 ,3.28 ,16770.00 ,6.58 ,2.62 ,1.64 ,10937.00 ,4.29 ,1.71 ,1.07 ,7220.00 ,16.48 ,9.05 ,6.24 ,3610.00 ,8.24 ,4.52 ,3.12 ,2354.00 ,5.37 ,2.95 ,2.03 
"Boulder, CO",640,90,297,468,43,67,"267,487","42,093","160,492","32,893","6,933","2,193",7.38 ,4.69 ,3.43 ,1096.00 ,3.69 ,2.34 ,1.71 ,715.00 ,2.41 ,1.53 ,1.12 ,462.00 ,10.74 ,6.90 ,5.13 ,231.00 ,5.37 ,3.45 ,2.57 ,151.00 ,3.51 ,2.25 ,1.68 
"Bradenton, FL",822,104,342,582,49,76,"266,378","82,842","159,827","35,089","8,013","2,339",6.84 ,4.02 ,2.85 ,1170.00 ,3.42 ,2.01 ,1.42 ,763.00 ,2.23 ,1.31 ,0.93 ,534.00 ,10.90 ,7.03 ,5.13 ,267.00 ,5.45 ,3.51 ,2.57 ,174.00 ,3.55 ,2.29 ,1.67 
"Bridgeport, CT","1,354",132,370,862,65,99,"539,133","102,171","323,480","67,285","14,444","4,486",12.12 ,5.20 ,3.31 ,2243.00 ,6.06 ,2.60 ,1.66 ,1463.00 ,3.95 ,1.70 ,1.08 ,963.00 ,14.82 ,9.73 ,7.30 ,481.00 ,7.40 ,4.86 ,3.64 ,314.00 ,4.83 ,3.17 ,2.38 
"Bronx, NY","4,012",282,807,"2,410",115,199,"1,094,741","170,439","656,845","134,516","28,327","8,968",11.11 ,3.72 ,2.24 ,4484.00 ,5.56 ,1.86 ,1.12 ,2924.00 ,3.62 ,1.21 ,0.73 ,1888.00 ,16.42 ,9.49 ,6.70 ,944.00 ,8.21 ,4.74 ,3.35 ,616.00 ,5.36 ,3.10 ,2.18 
"Bryan, TX",579,64,317,448,34,49,"230,741","32,271","138,445","28,144","5,872","1,876",5.92 ,4.19 ,3.24 ,938.00 ,2.96 ,2.09 ,1.62 ,612.00 ,1.93 ,1.37 ,1.06 ,391.00 ,11.50 ,7.98 ,6.11 ,196.00 ,5.76 ,4.00 ,3.06 ,128.00 ,3.76 ,2.61 ,2.00 
"Buffalo, NY","4,713",323,"1,228","2,971",95,209,"1,090,373","234,541","654,224","137,671","29,968","9,178",7.47 ,3.09 ,1.95 ,4589.00 ,3.74 ,1.54 ,0.97 ,2993.00 ,2.44 ,1.01 ,0.64 ,1998.00 ,21.03 ,9.56 ,6.19 ,999.00 ,10.52 ,4.78 ,3.09 ,651.00 ,6.85 ,3.11 ,2.02 
"Burlington, VT","1,743",117,587,"1,165",65,91,"522,720","104,104","313,632","65,524","14,141","4,368",7.44 ,3.75 ,2.51 ,2184.00 ,3.72 ,1.87 ,1.25 ,1424.00 ,2.43 ,1.22 ,0.82 ,943.00 ,14.51 ,10.36 ,8.06 ,471.00 ,7.25 ,5.18 ,4.03 ,307.00 ,4.72 ,3.37 ,2.62 
"Camden, NJ","6,527",701,"2,294","4,410",293,497,"2,208,721","489,214","1,325,233","279,679","61,086","18,645",8.13 ,4.23 ,2.86 ,9323.00 ,4.06 ,2.11 ,1.43 ,6080.00 ,2.65 ,1.38 ,0.93 ,4072.00 ,13.90 ,8.19 ,5.81 ,2036.00 ,6.95 ,4.10 ,2.90 ,1328.00 ,4.53 ,2.67 ,1.89 
"Canton, OH","1,441",209,706,"1,073",97,153,"495,349","113,936","297,209","62,964","13,814","4,198",5.95 ,3.91 ,2.91 ,2099.00 ,2.97 ,1.96 ,1.46 ,1369.00 ,1.94 ,1.28 ,0.95 ,921.00 ,9.49 ,6.02 ,4.41 ,460.00 ,4.74 ,3.01 ,2.20 ,300.00 ,3.09 ,1.96 ,1.44 
"Cape Girardeau, MO",859,80,398,629,43,62,"202,898","45,230","121,739","25,709","5,619","1,714",4.31 ,2.72 ,2.00 ,857.00 ,2.15 ,1.36 ,1.00 ,559.00 ,1.40 ,0.89 ,0.65 ,375.00 ,8.72 ,6.05 ,4.69 ,187.00 ,4.35 ,3.02 ,2.34 ,122.00 ,2.84 ,1.97 ,1.53 
"Casper, WY",633,32,378,505,20,26,"152,884","31,930","91,730","19,249","4,176","1,283",3.39 ,2.54 ,2.03 ,642.00 ,1.70 ,1.27 ,1.01 ,418.00 ,1.11 ,0.83 ,0.66 ,278.00 ,13.90 ,10.69 ,8.69 ,139.00 ,6.95 ,5.35 ,4.34 ,91.00 ,4.55 ,3.50 ,2.84 
"Cedar Rapids, IA",799,44,364,581,22,33,"234,872","48,228","140,923","29,524","6,393","1,968",5.41 ,3.39 ,2.46 ,984.00 ,2.70 ,1.69 ,1.23 ,642.00 ,1.76 ,1.10 ,0.80 ,426.00 ,19.36 ,12.91 ,9.68 ,213.00 ,9.68 ,6.45 ,4.84 ,139.00 ,6.32 ,4.21 ,3.16 
"Charleston, SC","3,013",329,975,"1,994",101,215,"914,407","196,315","548,644","115,432","25,121","7,695",7.89 ,3.86 ,2.55 ,3848.00 ,3.95 ,1.93 ,1.28 ,2509.00 ,2.57 ,1.26 ,0.83 ,1675.00 ,16.58 ,7.79 ,5.09 ,837.00 ,8.29 ,3.89 ,2.54 ,546.00 ,5.41 ,2.54 ,1.66 
"Charleston, WV","2,620",284,"1,167","1,894",97,190,"650,209","155,752","390,125","83,002","18,300","5,533",4.74 ,2.92 ,2.11 ,2767.00 ,2.37 ,1.46 ,1.06 ,1804.00 ,1.55 ,0.95 ,0.69 ,1220.00 ,12.58 ,6.42 ,4.30 ,610.00 ,6.29 ,3.21 ,2.15 ,398.00 ,4.10 ,2.09 ,1.40 
"Charlotte, NC","4,873",770,"1,465","3,169",249,510,"2,024,238","353,589","1,214,543","250,918","53,418","16,728",11.42 ,5.28 ,3.43 ,8364.00 ,5.71 ,2.64 ,1.72 ,5455.00 ,3.72 ,1.72 ,1.12 ,3561.00 ,14.30 ,6.98 ,4.62 ,1781.00 ,7.15 ,3.49 ,2.31 ,1161.00 ,4.66 ,2.28 ,1.51 
"Charlottesville, VA","1,326",155,433,879,35,95,"477,802","100,652","286,681","60,207","13,074","4,014",9.27 ,4.57 ,3.03 ,2007.00 ,4.64 ,2.28 ,1.51 ,1309.00 ,3.02 ,1.49 ,0.99 ,872.00 ,24.91 ,9.18 ,5.63 ,436.00 ,12.46 ,4.59 ,2.81 ,284.00 ,8.11 ,2.99 ,1.83 
"Chattanooga, TN","1,928",247,651,"1,290",59,153,"567,490","121,347","340,494","71,611","15,577","4,774",7.33 ,3.70 ,2.48 ,2387.00 ,3.67 ,1.85 ,1.24 ,1557.00 ,2.39 ,1.21 ,0.81 ,1038.00 ,17.59 ,6.78 ,4.20 ,519.00 ,8.80 ,3.39 ,2.10 ,339.00 ,5.75 ,2.22 ,1.37 
"Chicago, IL","7,764",912,"3,161","5,462",312,612,"2,045,072","306,266","1,227,043","250,595","52,588","16,706",5.29 ,3.06 ,2.15 ,8353.00 ,2.64 ,1.53 ,1.08 ,5448.00 ,1.72 ,1.00 ,0.70 ,3506.00 ,11.24 ,5.73 ,3.84 ,1753.00 ,5.62 ,2.86 ,1.92 ,1143.00 ,3.66 ,1.87 ,1.25 
"Chico, CA",537,51,153,345,23,37,"239,882","53,947","143,929","30,421","6,656","2,028",13.25 ,5.88 ,3.78 ,1014.00 ,6.63 ,2.94 ,1.89 ,661.00 ,4.32 ,1.92 ,1.23 ,444.00 ,19.30 ,12.00 ,8.71 ,222.00 ,9.65 ,6.00 ,4.35 ,145.00 ,6.30 ,3.92 ,2.84 
"Cincinnati, OH","3,808",567,"1,537","2,673",185,376,"1,293,436","245,509","776,062","161,446","34,663","10,763",7.00 ,4.03 ,2.83 ,5382.00 ,3.50 ,2.01 ,1.41 ,3510.00 ,2.28 ,1.31 ,0.92 ,2311.00 ,12.49 ,6.15 ,4.08 ,1155.00 ,6.24 ,3.07 ,2.04 ,754.00 ,4.08 ,2.01 ,1.33 
"Clearwater, FL","1,571",160,719,"1,145",44,102,"434,821","131,578","260,893","57,070","12,981","3,805",5.29 ,3.32 ,2.42 ,1902.00 ,2.65 ,1.66 ,1.21 ,1241.00 ,1.73 ,1.08 ,0.79 ,865.00 ,19.66 ,8.48 ,5.41 ,433.00 ,9.84 ,4.25 ,2.71 ,282.00 ,6.41 ,2.76 ,1.76 
"Cleveland, OH","7,233",885,"2,631","4,932",306,595,"1,602,896","353,619","961,738","202,887","44,293","13,526",5.14 ,2.74 ,1.87 ,6763.00 ,2.57 ,1.37 ,0.94 ,4411.00 ,1.68 ,0.89 ,0.61 ,2953.00 ,9.65 ,4.96 ,3.34 ,1476.00 ,4.82 ,2.48 ,1.67 ,963.00 ,3.15 ,1.62 ,1.09 
"Colorado Springs, CO","1,295",149,555,925,62,106,"673,350","119,939","404,010","83,598","17,832","5,573",10.04 ,6.02 ,4.30 ,2787.00 ,5.02 ,3.01 ,2.15 ,1817.00 ,3.27 ,1.96 ,1.40 ,1189.00 ,19.18 ,11.22 ,7.98 ,594.00 ,9.58 ,5.60 ,3.99 ,388.00 ,6.26 ,3.66 ,2.60 
"Columbia, MO","1,883",199,901,"1,392",77,138,"557,924","115,795","334,754","70,204","15,220","4,680",5.19 ,3.36 ,2.49 ,2340.00 ,2.60 ,1.68 ,1.24 ,1526.00 ,1.69 ,1.10 ,0.81 ,1015.00 ,13.18 ,7.36 ,5.10 ,507.00 ,6.58 ,3.67 ,2.55 ,331.00 ,4.30 ,2.40 ,1.66 
"Columbia, SC","3,026",398,"1,053","2,040",151,275,"975,665","189,632","585,399","122,035","26,267","8,136",7.73 ,3.99 ,2.69 ,4068.00 ,3.86 ,1.99 ,1.34 ,2653.00 ,2.52 ,1.30 ,0.88 ,1751.00 ,11.60 ,6.37 ,4.40 ,876.00 ,5.80 ,3.19 ,2.20 ,571.00 ,3.78 ,2.08 ,1.43 
"Columbus, GA","1,105",75,547,826,33,54,"280,815","48,222","168,489","34,762","7,388","2,317",4.24 ,2.81 ,2.10 ,1159.00 ,2.12 ,1.40 ,1.05 ,756.00 ,1.38 ,0.92 ,0.68 ,493.00 ,14.94 ,9.13 ,6.57 ,246.00 ,7.45 ,4.56 ,3.28 ,161.00 ,4.88 ,2.98 ,2.15 
"Columbus, OH","6,449",679,"2,792","4,620",235,457,"2,405,737","441,233","1,443,442","299,404","64,055","19,960",7.15 ,4.32 ,3.10 ,9980.00 ,3.57 ,2.16 ,1.55 ,6509.00 ,2.33 ,1.41 ,1.01 ,4270.00 ,18.17 ,9.34 ,6.29 ,2135.00 ,9.09 ,4.67 ,3.14 ,1392.00 ,5.92 ,3.05 ,2.05 
"Contra Costa County, CA","1,727",203,675,"1,201",81,142,"844,608","159,096","506,765","105,354","22,602","7,024",10.41 ,5.85 ,4.07 ,3512.00 ,5.20 ,2.92 ,2.03 ,2290.00 ,3.39 ,1.91 ,1.33 ,1507.00 ,18.60 ,10.61 ,7.42 ,753.00 ,9.30 ,5.30 ,3.71 ,491.00 ,6.06 ,3.46 ,2.42 
"Corpus Christi, TX","1,135",167,357,746,38,102,"439,951","83,055","263,971","54,889","11,778","3,659",10.25 ,4.90 ,3.22 ,1830.00 ,5.13 ,2.45 ,1.61 ,1193.00 ,3.34 ,1.60 ,1.05 ,785.00 ,20.66 ,7.70 ,4.70 ,393.00 ,10.34 ,3.85 ,2.35 ,256.00 ,6.74 ,2.51 ,1.53 
"Covington, KY",828,93,280,554,39,66,"327,040","57,022","196,224","40,533","8,628","2,702",9.65 ,4.88 ,3.26 ,1351.00 ,4.83 ,2.44 ,1.63 ,881.00 ,3.15 ,1.59 ,1.06 ,575.00 ,14.74 ,8.71 ,6.18 ,288.00 ,7.38 ,4.36 ,3.10 ,188.00 ,4.82 ,2.85 ,2.02 
"Dallas, TX","10,585","1,292","3,679","7,132",450,871,"3,918,830","583,050","2,351,298","479,980","100,668","31,999",8.70 ,4.49 ,3.02 ,15999.00 ,4.35 ,2.24 ,1.51 ,10434.00 ,2.84 ,1.46 ,0.99 ,6711.00 ,14.91 ,7.70 ,5.19 ,3356.00 ,7.46 ,3.85 ,2.60 ,2188.00 ,4.86 ,2.51 ,1.69 
"Danville, PA","1,664",171,510,"1,087",33,102,"481,423","99,782","288,854","60,570","13,129","4,038",7.92 ,3.71 ,2.43 ,2019.00 ,3.96 ,1.86 ,1.21 ,1317.00 ,2.58 ,1.21 ,0.79 ,875.00 ,26.52 ,8.58 ,5.12 ,438.00 ,13.27 ,4.29 ,2.56 ,285.00 ,8.64 ,2.79 ,1.67 
"Davenport, IA","1,614",139,699,"1,157",66,102,"379,562","86,153","227,737","48,181","10,554","3,212",4.60 ,2.78 ,1.99 ,1606.00 ,2.30 ,1.39 ,1.00 ,1047.00 ,1.50 ,0.90 ,0.65 ,704.00 ,10.67 ,6.90 ,5.06 ,352.00 ,5.33 ,3.45 ,2.53 ,229.00 ,3.47 ,2.25 ,1.65 
