HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Duluth, MN","1,319",217,508,914,73,145,"274,471","63,578","109,788","23,276","5,111","1,552",3.06 ,1.70 ,1.18 ,776.00 ,1.53 ,0.85 ,0.59 ,506.00 ,1.00 ,0.55 ,0.38 ,341.00 ,4.67 ,2.35 ,1.57 ,170.00 ,2.33 ,1.17 ,0.78 ,111.00 ,1.52 ,0.77 ,0.51 
"Durham, NC","4,505",790,"1,125","2,815",241,516,"1,097,252","224,839","438,901","91,935","19,903","6,129",5.45 ,2.18 ,1.36 ,3064.00 ,2.72 ,1.09 ,0.68 ,1999.00 ,1.78 ,0.71 ,0.44 ,1327.00 ,5.51 ,2.57 ,1.68 ,663.00 ,2.75 ,1.28 ,0.84 ,433.00 ,1.80 ,0.84 ,0.55 
"East Long Island, NY","9,897",928,"1,230","5,564",235,582,"3,811,249","751,403","1,524,500","318,208","68,597","21,214",17.25 ,3.81 ,2.14 ,10607.00 ,8.62 ,1.91 ,1.07 ,6918.00 ,5.62 ,1.24 ,0.70 ,4573.00 ,19.46 ,7.86 ,4.93 ,2287.00 ,9.73 ,3.93 ,2.46 ,1491.00 ,6.34 ,2.56 ,1.61 
"El Paso, TX","2,086",274,753,"1,420",51,162,"839,182","146,112","335,673","69,330","14,755","4,622",6.14 ,3.25 ,2.22 ,2311.00 ,3.07 ,1.63 ,1.11 ,1507.00 ,2.00 ,1.06 ,0.72 ,984.00 ,19.29 ,6.07 ,3.59 ,492.00 ,9.65 ,3.04 ,1.80 ,321.00 ,6.29 ,1.98 ,1.17 
"Elgin, IL","1,239",142,475,857,67,104,"610,597","100,811","244,239","50,236","10,637","3,349",7.05 ,3.91 ,2.70 ,1675.00 ,3.53 ,1.95 ,1.35 ,1092.00 ,2.30 ,1.27 ,0.88 ,709.00 ,10.58 ,6.82 ,4.99 ,355.00 ,5.30 ,3.41 ,2.50 ,231.00 ,3.45 ,2.22 ,1.63 
"Elmira, NY","1,036",94,361,699,14,54,"255,069","58,415","102,028","21,605","4,738","1,440",3.99 ,2.06 ,1.39 ,720.00 ,1.99 ,1.03 ,0.69 ,470.00 ,1.30 ,0.67 ,0.45 ,316.00 ,22.57 ,5.85 ,3.36 ,158.00 ,11.29 ,2.93 ,1.68 ,103.00 ,7.36 ,1.91 ,1.10 
"Elyria, OH",453,63,214,333,21,42,"200,261","44,042","80,104","16,893","3,687","1,126",5.26 ,3.38 ,2.49 ,563.00 ,2.63 ,1.69 ,1.24 ,367.00 ,1.71 ,1.10 ,0.81 ,246.00 ,11.71 ,5.86 ,3.90 ,123.00 ,5.86 ,2.93 ,1.95 ,80.00 ,3.81 ,1.90 ,1.27 
"Erie, PA","1,904",184,706,"1,305",88,136,"561,138","130,069","224,455","47,589","10,451","3,173",4.49 ,2.43 ,1.67 ,1586.00 ,2.25 ,1.22 ,0.83 ,1035.00 ,1.47 ,0.79 ,0.54 ,697.00 ,7.92 ,5.13 ,3.79 ,348.00 ,3.95 ,2.56 ,1.89 ,227.00 ,2.58 ,1.67 ,1.23 
"Eugene, OR","1,208",138,416,812,64,101,"603,572","141,016","241,429","51,230","11,261","3,415",8.21 ,4.21 ,2.83 ,1708.00 ,4.11 ,2.10 ,1.41 ,1114.00 ,2.68 ,1.37 ,0.92 ,751.00 ,11.73 ,7.44 ,5.44 ,375.00 ,5.86 ,3.71 ,2.72 ,245.00 ,3.83 ,2.43 ,1.78 
"Evanston, IL","2,032",332,666,"1,349",137,234,"711,961","162,705","284,784","60,292","13,218","4,019",6.03 ,2.98 ,1.98 ,2010.00 ,3.02 ,1.49 ,0.99 ,1311.00 ,1.97 ,0.97 ,0.65 ,881.00 ,6.43 ,3.76 ,2.65 ,441.00 ,3.22 ,1.88 ,1.33 ,287.00 ,2.09 ,1.23 ,0.86 
"Evansville, IN","2,154",328,"1,050","1,602",157,243,"528,945","115,347","211,578","44,583","9,720","2,972",2.83 ,1.86 ,1.38 ,1486.00 ,1.42 ,0.93 ,0.69 ,969.00 ,0.92 ,0.60 ,0.45 ,648.00 ,4.13 ,2.67 ,1.98 ,324.00 ,2.06 ,1.33 ,0.99 ,211.00 ,1.34 ,0.87 ,0.64 
"Everett, WA",951,83,319,635,26,55,"542,404","104,811","216,962","45,206","9,724","3,014",9.45 ,4.75 ,3.17 ,1507.00 ,4.72 ,2.37 ,1.58 ,983.00 ,3.08 ,1.55 ,1.03 ,648.00 ,24.92 ,11.78 ,7.81 ,324.00 ,12.46 ,5.89 ,3.90 ,211.00 ,8.12 ,3.84 ,2.54 
"Fargo/Moorhead MN, ND","1,872",180,734,"1,303",48,114,"432,080","90,275","172,832","36,269","7,869","2,418",3.29 ,1.86 ,1.29 ,1209.00 ,1.65 ,0.93 ,0.65 ,788.00 ,1.07 ,0.60 ,0.42 ,525.00 ,10.94 ,4.61 ,2.92 ,262.00 ,5.46 ,2.30 ,1.46 ,171.00 ,3.56 ,1.50 ,0.95 
"Flint, MI","1,375",161,458,916,58,109,"426,480","89,340","170,592","35,807","7,771","2,387",5.21 ,2.61 ,1.74 ,1194.00 ,2.61 ,1.30 ,0.87 ,778.00 ,1.70 ,0.85 ,0.57 ,518.00 ,8.93 ,4.75 ,3.22 ,259.00 ,4.47 ,2.38 ,1.61 ,169.00 ,2.91 ,1.55 ,1.05 
"Florence, SC","1,248",224,481,865,79,151,"287,862","62,812","115,145","24,264","5,290","1,618",3.36 ,1.87 ,1.30 ,809.00 ,1.68 ,0.94 ,0.65 ,527.00 ,1.10 ,0.61 ,0.42 ,353.00 ,4.47 ,2.34 ,1.58 ,176.00 ,2.23 ,1.17 ,0.79 ,115.00 ,1.46 ,0.76 ,0.51 
"Fort Collins, CO",704,31,341,523,14,22,"287,995","47,223","115,198","23,682","5,011","1,579",4.63 ,3.02 ,2.24 ,789.00 ,2.31 ,1.51 ,1.12 ,515.00 ,1.51 ,0.98 ,0.73 ,334.00 ,23.86 ,15.18 ,10.77 ,167.00 ,11.93 ,7.59 ,5.39 ,109.00 ,7.79 ,4.95 ,3.52 
"Fort Lauderdale, FL","7,323",908,"2,753","5,038",292,600,"2,396,614","619,365","958,646","205,679","45,787","13,712",4.98 ,2.72 ,1.87 ,6856.00 ,2.49 ,1.36 ,0.94 ,4471.00 ,1.62 ,0.89 ,0.61 ,3052.00 ,10.45 ,5.09 ,3.36 ,1526.00 ,5.23 ,2.54 ,1.68 ,995.00 ,3.41 ,1.66 ,1.10 
"Fort Myers, FL","3,115",268,"1,089","2,102",97,182,"1,079,022","373,713","431,609","96,207","22,327","6,414",5.89 ,3.05 ,2.06 ,3207.00 ,2.94 ,1.53 ,1.03 ,2091.00 ,1.92 ,0.99 ,0.67 ,1488.00 ,15.34 ,8.18 ,5.55 ,744.00 ,7.67 ,4.09 ,2.78 ,485.00 ,5.00 ,2.66 ,1.81 
"Fort Smith, AR",931,87,487,709,55,71,"281,971","62,427","112,788","23,802","5,198","1,587",3.26 ,2.24 ,1.70 ,793.00 ,1.63 ,1.12 ,0.85 ,517.00 ,1.06 ,0.73 ,0.56 ,347.00 ,6.31 ,4.89 ,3.99 ,173.00 ,3.15 ,2.44 ,1.99 ,113.00 ,2.05 ,1.59 ,1.30 
"Fort Wayne, IN","2,442",376,"1,038","1,740",143,259,"651,379","132,442","260,552","54,538","11,797","3,636",3.50 ,2.09 ,1.49 ,1818.00 ,1.75 ,1.04 ,0.74 ,1186.00 ,1.14 ,0.68 ,0.49 ,786.00 ,5.50 ,3.03 ,2.09 ,393.00 ,2.75 ,1.52 ,1.05 ,256.00 ,1.79 ,0.99 ,0.68 
"Fort Worth, TX","4,200",501,"1,400","2,800",187,344,"1,764,292","277,941","705,717","144,648","30,493","9,643",6.89 ,3.44 ,2.30 ,4822.00 ,3.44 ,1.72 ,1.15 ,3145.00 ,2.25 ,1.12 ,0.75 ,2033.00 ,10.87 ,5.91 ,4.06 ,1016.00 ,5.43 ,2.95 ,2.03 ,663.00 ,3.55 ,1.93 ,1.32 
"Fresno, CA","1,935",205,547,"1,241",77,141,"918,145","146,620","367,258","75,351","15,905","5,023",9.18 ,4.05 ,2.60 ,2512.00 ,4.59 ,2.02 ,1.30 ,1638.00 ,2.99 ,1.32 ,0.85 ,1060.00 ,13.77 ,7.52 ,5.17 ,530.00 ,6.88 ,3.76 ,2.59 ,346.00 ,4.49 ,2.45 ,1.69 
"Gainesville, FL","1,834",303,469,"1,152",88,195,"464,038","96,829","185,615","38,946","8,448","2,596",5.54 ,2.25 ,1.42 ,1298.00 ,2.77 ,1.13 ,0.71 ,847.00 ,1.81 ,0.74 ,0.46 ,563.00 ,6.40 ,2.89 ,1.86 ,282.00 ,3.20 ,1.45 ,0.93 ,184.00 ,2.09 ,0.94 ,0.61 
"Gary, IN","1,434",179,638,"1,036",95,137,"392,167","80,990","156,867","32,882","7,125","2,192",3.44 ,2.12 ,1.53 ,1096.00 ,1.72 ,1.06 ,0.76 ,715.00 ,1.12 ,0.69 ,0.50 ,475.00 ,5.00 ,3.47 ,2.65 ,238.00 ,2.51 ,1.74 ,1.33 ,155.00 ,1.63 ,1.13 ,0.87 
"Grand Forks, ND",952,31,374,663,18,24,"130,084","25,793","52,034","10,867","2,344",724,1.94 ,1.09 ,0.76 ,362.00 ,0.97 ,0.55 ,0.38 ,236.00 ,0.63 ,0.36 ,0.25 ,156.00 ,8.67 ,6.50 ,5.03 ,78.00 ,4.33 ,3.25 ,2.52 ,51.00 ,2.83 ,2.13 ,1.65 
"Grand Junction, CO",696,75,321,509,33,54,"270,519","57,077","108,208","22,728","4,937","1,515",4.72 ,2.98 ,2.18 ,758.00 ,2.36 ,1.49 ,1.09 ,494.00 ,1.54 ,0.97 ,0.71 ,329.00 ,9.97 ,6.09 ,4.39 ,165.00 ,5.00 ,3.06 ,2.20 ,107.00 ,3.24 ,1.98 ,1.43 
"Grand Rapids, MI","2,440",236,957,"1,699",86,161,"933,913","171,359","373,565","77,489","16,579","5,166",5.40 ,3.04 ,2.12 ,2583.00 ,2.70 ,1.52 ,1.06 ,1685.00 ,1.76 ,0.99 ,0.69 ,1105.00 ,12.85 ,6.86 ,4.68 ,553.00 ,6.43 ,3.43 ,2.34 ,360.00 ,4.19 ,2.24 ,1.53 
"Great Falls, MT",937,50,367,652,27,39,"114,922","25,583","45,969","9,706","2,121",647,1.76 ,0.99 ,0.69 ,324.00 ,0.88 ,0.50 ,0.35 ,211.00 ,0.57 ,0.32 ,0.23 ,141.00 ,5.22 ,3.62 ,2.82 ,71.00 ,2.63 ,1.82 ,1.42 ,46.00 ,1.70 ,1.18 ,0.92 
"Greeley, CO",792,79,396,594,28,54,"294,267","55,594","117,707","24,477","5,253","1,632",4.12 ,2.75 ,2.06 ,816.00 ,2.06 ,1.37 ,1.03 ,532.00 ,1.34 ,0.90 ,0.67 ,350.00 ,12.50 ,6.48 ,4.43 ,175.00 ,6.25 ,3.24 ,2.22 ,114.00 ,4.07 ,2.11 ,1.44 
"Green Bay, WI",990,112,498,744,43,77,"402,953","88,095","161,181","33,972","7,409","2,265",4.55 ,3.04 ,2.29 ,1132.00 ,2.27 ,1.52 ,1.14 ,739.00 ,1.48 ,0.99 ,0.75 ,494.00 ,11.49 ,6.42 ,4.41 ,247.00 ,5.74 ,3.21 ,2.21 ,161.00 ,3.74 ,2.09 ,1.44 
"Greensboro, NC","1,224",135,362,793,47,91,"505,727","100,544","202,291","42,256","9,118","2,817",7.78 ,3.55 ,2.30 ,1409.00 ,3.89 ,1.78 ,1.15 ,919.00 ,2.54 ,1.16 ,0.75 ,608.00 ,12.94 ,6.68 ,4.50 ,304.00 ,6.47 ,3.34 ,2.25 ,198.00 ,4.21 ,2.18 ,1.47 
