City,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
Bakersfield,CA,"2,429",191,692,"1,561",88,140,"847,115","123,309","338,846","69,066","14,458","4,604",6.65,2.95,1.9,2302,3.33,1.47,0.95,1501,2.17,0.96,0.62,964,10.95,6.89,5.05,482,5.48,3.44,2.52,314,3.57,2.24,1.64
Baltimore,MD,"6,931",844,"1,887","4,409",303,574,"2,015,003","379,769","806,001","167,571","35,951","11,171",5.92,2.53,1.61,5586,2.96,1.27,0.81,3643,1.93,0.83,0.53,2397,7.91,4.18,2.84,1198,3.95,2.09,1.42,782,2.58,1.36,0.93
Bangor,ME,"1,094",100,400,747,28,64,"318,554","77,904","127,422","27,171","6,006","1,811",4.53,2.42,1.66,906,2.27,1.21,0.83,591,1.48,0.79,0.54,400,14.29,6.25,4,200,7.14,3.13,2,131,4.68,2.05,1.31
Baton Rouge,LA,"2,898",249,"1,159","2,028",119,184,"746,856","127,072","298,742","61,590","13,078","4,106",3.54,2.02,1.42,2053,1.77,1.01,0.71,1339,1.16,0.66,0.46,872,7.33,4.74,3.5,436,3.66,2.37,1.75,284,2.39,1.54,1.14
Beaumont,TX,908,114,421,665,43,79,"356,372","70,621","142,549","29,768","6,421","1,985",4.71,2.98,2.19,992,2.36,1.49,1.09,647,1.54,0.97,0.71,428,9.95,5.42,3.75,214,4.98,2.71,1.88,140,3.26,1.77,1.23
Bend,OR,415,38,182,298,17,27,"189,876","47,299","75,950","16,228","3,596","1,082",5.95,3.63,2.61,541,2.97,1.82,1.3,353,1.94,1.18,0.85,240,14.12,8.89,6.32,120,7.06,4.44,3.16,78,4.59,2.89,2.05
Billings,MT,"2,432",148,931,"1,681",65,106,"476,520","97,688","190,608","39,928","8,644","2,662",2.86,1.58,1.09,1331,1.43,0.79,0.55,868,0.93,0.52,0.36,576,8.86,5.43,3.89,288,4.43,2.72,1.95,188,2.89,1.77,1.27
Binghamton,NY,"1,005",54,365,685,17,35,"286,154","67,043","114,462","24,295","5,342","1,620",4.44,2.36,1.61,810,2.22,1.18,0.81,528,1.45,0.77,0.53,356,20.94,10.17,6.59,178,10.47,5.09,3.3,116,6.82,3.31,2.15
Birmingham,AL,"7,297",991,"2,756","5,027",342,666,"1,774,690","364,610","709,876","148,732","32,208","9,915",3.6,1.97,1.36,4958,1.8,0.99,0.68,3233,1.17,0.64,0.44,2147,6.28,3.22,2.17,1074,3.14,1.61,1.08,700,2.05,1.05,0.71
Bismarck,ND,970,80,422,696,43,62,"182,581","38,811","73,032","15,351","3,337","1,023",2.42,1.47,1.05,512,1.21,0.74,0.53,334,0.79,0.48,0.34,222,5.16,3.58,2.78,111,2.58,1.79,1.39,73,1.7,1.18,0.91
Bloomington,IL,394,35,201,298,10,23,"160,796","25,937","64,318","13,206","2,790",880,4.38,2.95,2.23,440,2.19,1.48,1.12,287,1.43,0.96,0.73,186,18.6,8.09,5.31,93,9.3,4.04,2.66,61,6.1,2.65,1.74
Blue Island,IL,"2,053",308,583,"1,318",118,213,"670,968","134,483","268,387","56,104","12,116","3,740",6.42,2.84,1.82,1870,3.21,1.42,0.91,1220,2.09,0.93,0.59,808,6.85,3.79,2.62,404,3.42,1.9,1.31,263,2.23,1.23,0.85
Boise,ID,"1,773",186,848,"1,310",95,141,"701,166","134,953","280,466","58,417","12,561","3,894",4.59,2.97,2.2,1947,2.3,1.49,1.1,1270,1.5,0.97,0.72,837,8.81,5.94,4.5,419,4.41,2.97,2.25,273,2.87,1.94,1.47
Boston,MA,"10,239","1,157","2,548","6,393",438,798,"4,022,208","782,014","1,608,883","335,404","72,196","22,360",8.78,3.5,2.18,11180,4.39,1.75,1.09,7291,2.86,1.14,0.71,4813,10.99,6.03,4.16,2407,5.5,3.02,2.08,1569,3.58,1.97,1.36
Boulder,CO,640,90,297,468,43,67,"267,487","42,093","106,995","21,929","4,622","1,462",4.92,3.12,2.28,731,2.46,1.56,1.14,477,1.61,1.02,0.75,308,7.16,4.6,3.42,154,3.58,2.3,1.71,100,2.33,1.49,1.11
Bradenton,FL,822,104,342,582,49,76,"266,378","82,842","106,551","23,393","5,342","1,560",4.56,2.68,1.9,780,2.28,1.34,0.95,509,1.49,0.87,0.62,356,7.27,4.68,3.42,178,3.63,2.34,1.71,116,2.37,1.53,1.12
Bridgeport,CT,"1,354",132,370,862,65,99,"539,133","102,171","215,653","44,857","9,629","2,990",8.08,3.47,2.21,1495,4.04,1.73,1.1,975,2.64,1.13,0.72,642,9.88,6.48,4.86,321,4.94,3.24,2.43,209,3.22,2.11,1.58
Bronx,NY,"4,012",282,807,"2,410",115,199,"1,094,741","170,439","437,896","89,677","18,884","5,978",7.41,2.48,1.49,2989,3.7,1.24,0.75,1950,2.42,0.81,0.49,1259,10.95,6.33,4.46,629,5.47,3.16,2.23,411,3.57,2.07,1.46
Bryan,TX,579,64,317,448,34,49,"230,741","32,271","92,296","18,763","3,914","1,251",3.95,2.79,2.16,625,1.97,1.4,1.08,408,1.29,0.91,0.7,261,7.68,5.33,4.08,130,3.82,2.65,2.03,85,2.5,1.73,1.33
