City,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
New Brunswick,NJ,"2,177",213,616,"1,397",126,170,"845,392","153,380","338,157","70,078","14,976","4,672",7.58,3.34,2.15,2336,3.79,1.67,1.07,1523,2.47,1.09,0.7,998,7.92,5.87,4.69,499,3.96,2.94,2.34,326,2.59,1.92,1.53
New Haven,CT,"2,825",286,610,"1,717",118,202,"1,177,072","244,084","470,829","98,733","21,403","6,582",10.79,3.83,2.33,3291,5.4,1.92,1.16,2146,3.52,1.25,0.76,1427,12.09,7.06,4.99,713,6.04,3.53,2.49,465,3.94,2.3,1.63
New Orleans,LA,"2,491",313,869,"1,680",77,195,"554,325","92,037","221,730","45,626","9,666","3,042",3.5,1.81,1.22,1521,1.75,0.91,0.61,992,1.14,0.59,0.4,644,8.36,3.3,2.06,322,4.18,1.65,1.03,210,2.73,1.08,0.67
Newark,NJ,"3,636",403,"1,033","2,334",195,299,"1,233,539","198,090","493,416","101,276","21,388","6,752",6.54,2.89,1.86,3376,3.27,1.45,0.93,2202,2.13,0.94,0.61,1426,7.31,4.77,3.54,713,3.66,2.38,1.77,465,2.38,1.56,1.15
Newport News,VA,905,145,251,578,45,95,"447,424","89,385","178,970","37,401","8,074","2,493",9.93,4.31,2.75,1247,4.97,2.16,1.38,813,3.24,1.41,0.9,538,11.96,5.66,3.71,269,5.98,2.83,1.86,176,3.91,1.85,1.21
Norfolk,VA,"2,543",276,782,"1,663",82,179,"1,023,500","174,191","409,400","84,405","17,923","5,627",7.2,3.38,2.21,2814,3.6,1.69,1.11,1835,2.35,1.1,0.72,1195,14.57,6.68,4.33,597,7.28,3.34,2.16,390,4.76,2.18,1.41
Ocala,FL,902,150,289,596,51,100,"449,792","185,054","179,917","41,216","9,835","2,748",9.51,4.61,3.05,1374,4.75,2.31,1.52,896,3.1,1.5,0.99,656,12.86,6.56,4.37,328,6.43,3.28,2.19,214,4.2,2.14,1.43
Odessa,TX,"1,014",101,543,779,38,70,"283,753","43,182","113,501","23,206","4,877","1,547",2.85,1.99,1.53,774,1.43,0.99,0.76,504,0.93,0.65,0.5,325,8.55,4.64,3.22,163,4.29,2.33,1.61,106,2.79,1.51,1.05
Ogden,UT,750,110,371,561,42,76,"356,000","51,907","142,400","29,028","6,078","1,935",5.22,3.45,2.58,968,2.61,1.73,1.29,631,1.7,1.12,0.84,405,9.64,5.33,3.68,203,4.83,2.67,1.85,132,3.14,1.74,1.2
Oklahoma City,OK,"5,541",582,"2,447","3,994",225,404,"1,491,485","279,037","596,594","123,956","26,574","8,264",3.38,2.07,1.49,4132,1.69,1.03,0.75,2695,1.1,0.67,0.49,1772,7.88,4.39,3.04,886,3.94,2.19,1.52,578,2.57,1.43,0.99
Olympia,WA,558,84,173,365,25,54,"320,156","71,021","128,062","27,031","5,905","1,802",10.42,4.94,3.23,901,5.21,2.47,1.61,588,3.4,1.61,1.05,394,15.76,7.3,4.69,197,7.88,3.65,2.35,128,5.12,2.37,1.52
Omaha,NE,"4,017",449,"1,742","2,879",184,317,"1,010,995","195,073","404,398","84,248","18,120","5,617",3.22,1.95,1.4,2808,1.61,0.98,0.7,1831,1.05,0.64,0.46,1208,6.57,3.81,2.69,604,3.28,1.91,1.35,394,2.14,1.24,0.88
Orange County,CA,"5,813",690,"2,236","4,024",293,491,"2,662,559","456,181","1,065,024","219,689","46,681","14,646",6.55,3.64,2.52,7323,3.28,1.82,1.26,4776,2.14,1.19,0.82,3112,10.62,6.34,4.51,1556,5.31,3.17,2.26,1015,3.46,2.07,1.47
Orlando,FL,"10,004","1,284","3,292","6,648",448,866,"3,130,935","714,153","1,252,374","265,089","58,101","17,673",5.37,2.66,1.77,8836,2.68,1.33,0.88,5763,1.75,0.87,0.58,3873,8.65,4.47,3.02,1937,4.32,2.24,1.51,1263,2.82,1.46,0.98
Ormond Beach,FL,872,158,359,616,63,110,"338,880","108,815","135,552","29,890","6,858","1,993",5.55,3.24,2.29,996,2.77,1.62,1.14,650,1.81,1.06,0.75,457,7.25,4.15,2.89,229,3.63,2.08,1.45,149,2.37,1.35,0.94
Owensboro,KY,390,36,175,282,14,25,"112,038","24,900","44,815","9,461","2,067",631,3.61,2.24,1.62,315,1.8,1.12,0.81,206,1.18,0.73,0.53,138,9.86,5.52,3.83,69,4.93,2.76,1.92,45,3.21,1.8,1.25
Oxford,MS,835,29,344,589,15,22,"116,854","21,977","46,742","9,716","2,084",648,1.88,1.1,0.78,324,0.94,0.55,0.39,211,0.61,0.36,0.25,139,9.27,6.32,4.79,69,4.6,3.14,2.38,45,3,2.05,1.55
Paducah,KY,"1,490",117,779,"1,134",57,87,"290,227","70,421","116,091","24,733","5,462","1,649",2.12,1.45,1.11,824,1.06,0.73,0.55,538,0.69,0.47,0.36,364,6.39,4.18,3.11,182,3.19,2.09,1.56,119,2.09,1.37,1.02
Palm Springs/Rancho Mira,CA,974,69,404,689,23,46,"305,976","94,312","122,390","26,838","6,121","1,789",4.43,2.6,1.84,895,2.22,1.3,0.92,583,1.44,0.85,0.6,408,17.74,8.87,5.91,204,8.87,4.43,2.96,133,5.78,2.89,1.93
Paterson,NJ,"1,164",84,527,845,12,48,"310,775","60,087","124,310","25,902","5,572","1,727",3.28,2.04,1.48,863,1.64,1.02,0.74,563,1.07,0.67,0.48,371,30.92,7.73,4.42,186,15.5,3.88,2.21,121,10.08,2.52,1.44
Pensacola,FL,"2,001",230,755,"1,378",91,160,"636,854","130,505","254,742","53,360","11,552","3,557",4.71,2.58,1.78,1779,2.36,1.29,0.89,1160,1.54,0.84,0.58,770,8.46,4.81,3.35,385,4.23,2.41,1.67,251,2.76,1.57,1.09
Peoria,IL,"1,725",156,643,"1,184",71,114,"469,070","106,095","187,628","39,681","8,688","2,645",4.11,2.23,1.53,1323,2.06,1.12,0.77,863,1.34,0.73,0.5,579,8.15,5.08,3.71,290,4.08,2.54,1.86,189,2.66,1.66,1.21
Petoskey,MI,476,68,178,327,22,45,"142,627","37,819","57,051","12,277","2,742",818,4.6,2.5,1.72,409,2.3,1.25,0.86,267,1.5,0.82,0.56,183,8.32,4.07,2.69,91,4.14,2.02,1.34,60,2.73,1.33,0.88
Philadelphia,PA,"10,697","1,257","3,634","7,165",546,902,"3,331,376","632,032","1,332,550","277,202","59,513","18,480",5.09,2.58,1.73,9240,2.54,1.29,0.86,6026,1.66,0.84,0.56,3968,7.27,4.4,3.16,1984,3.63,2.2,1.58,1294,2.37,1.43,1.03
Phoenix,AZ,"6,977",957,"2,567","4,772",416,687,"2,761,090","532,669","1,104,436","230,084","49,485","15,339",5.98,3.21,2.2,7669,2.99,1.61,1.1,5002,1.95,1.05,0.72,3299,7.93,4.8,3.45,1650,3.97,2.4,1.72,1076,2.59,1.57,1.12
Pittsburgh,PA,"8,133","1,079","2,738","5,436",420,749,"2,324,172","541,967","929,669","197,232","43,344","13,149",4.8,2.42,1.62,6574,2.4,1.21,0.81,4288,1.57,0.79,0.53,2890,6.88,3.86,2.68,1445,3.44,1.93,1.34,942,2.24,1.26,0.87
Pontiac,MI,911,95,321,616,49,72,"376,936","70,983","150,774","31,344","6,724","2,090",6.51,3.39,2.29,1045,3.26,1.7,1.15,681,2.12,1.11,0.75,448,9.14,6.22,4.72,224,4.57,3.11,2.36,146,2.98,2.03,1.54
Portland,ME,"2,524",209,710,"1,617",92,151,"876,231","194,509","350,492","73,985","16,164","4,932",6.95,3.05,1.95,2466,3.47,1.53,0.98,1608,2.26,0.99,0.64,1078,11.72,7.14,5.16,539,5.86,3.57,2.58,351,3.82,2.32,1.68
Portland,OR,"4,684",661,"1,737","3,211",278,469,"2,215,589","412,976","886,236","184,078","39,447","12,272",7.07,3.82,2.62,6136,3.53,1.91,1.31,4002,2.3,1.25,0.85,2630,9.46,5.61,3.98,1315,4.73,2.8,1.99,858,3.09,1.83,1.3
Providence,RI,"2,249",293,690,"1,470",82,188,"986,702","192,737","394,681","82,313","17,727","5,488",7.95,3.73,2.44,2744,3.98,1.87,1.22,1789,2.59,1.22,0.8,1182,14.41,6.29,4.03,591,7.21,3.14,2.02,385,4.7,2.05,1.31
Provo,UT,941,122,387,664,52,87,"436,975","52,585","174,790","35,208","7,259","2,347",6.06,3.53,2.49,1174,3.03,1.77,1.25,765,1.98,1.15,0.81,484,9.31,5.56,3.97,242,4.65,2.78,1.98,158,3.04,1.82,1.3
Pueblo,CO,615,28,238,426,7,17,"138,550","32,449","55,420","11,763","2,586",784,3.29,1.84,1.27,392,1.65,0.92,0.64,256,1.08,0.6,0.42,172,24.57,10.12,6.14,86,12.29,5.06,3.07,56,8,3.29,2
Raleigh,NC,"3,560",375,"1,124","2,342",160,267,"1,670,043","272,076","668,017","137,262","29,026","9,151",8.14,3.91,2.57,4575,4.07,1.95,1.29,2984,2.65,1.27,0.84,1935,12.09,7.25,5.16,968,6.05,3.63,2.58,631,3.94,2.36,1.68
Rapid City,SD,878,46,343,610,20,33,"173,590","37,388","69,436","14,614","3,181",974,2.84,1.6,1.11,487,1.42,0.8,0.55,318,0.93,0.52,0.36,212,10.6,6.42,4.61,106,5.3,3.21,2.3,69,3.45,2.09,1.5
Reading,PA,"1,329",99,559,944,50,75,"466,917","99,775","186,767","39,277","8,543","2,618",4.68,2.77,1.97,1309,2.34,1.39,0.98,854,1.53,0.9,0.64,570,11.4,7.6,5.76,285,5.7,3.8,2.88,186,3.72,2.48,1.88
Redding,CA,786,109,284,535,58,83,"276,179","64,591","110,472","23,444","5,154","1,563",5.5,2.92,1.99,781,2.75,1.46,0.99,510,1.8,0.95,0.65,344,5.93,4.14,3.16,172,2.97,2.07,1.58,112,1.93,1.35,1.03
Reno,NV,"1,886",406,660,"1,273",128,267,"605,953","127,753","242,381","50,907","11,056","3,394",5.14,2.67,1.8,1697,2.57,1.33,0.9,1107,1.68,0.87,0.59,737,5.76,2.76,1.82,369,2.88,1.38,0.91,240,1.88,0.9,0.59
Richmond,VA,"4,478",465,"1,488","2,983",144,305,"1,409,076","264,187","563,630","117,129","25,116","7,809",5.25,2.62,1.74,3904,2.62,1.31,0.87,2546,1.71,0.85,0.57,1674,11.63,5.49,3.6,837,5.81,2.74,1.8,546,3.79,1.79,1.17
Ridgewood,NJ,814,83,275,544,35,59,"338,732","65,551","135,493","28,235","6,074","1,882",6.84,3.46,2.31,941,3.42,1.73,1.16,614,2.23,1.13,0.75,405,11.57,6.86,4.88,202,5.77,3.42,2.43,132,3.77,2.24,1.59
Roanoke,VA,"2,189",272,593,"1,391",113,192,"569,741","127,897","227,896","48,160","10,536","3,211",5.41,2.31,1.47,1605,2.71,1.15,0.73,1047,1.77,0.75,0.48,702,6.21,3.66,2.58,351,3.11,1.83,1.29,229,2.03,1.19,0.84
Rochester,MN,"1,835",240,594,"1,215",90,165,"320,367","71,522","128,147","27,066","5,917","1,804",3.04,1.48,0.98,902,1.52,0.74,0.49,588,0.99,0.48,0.32,394,4.38,2.39,1.64,197,2.19,1.19,0.82,129,1.43,0.78,0.54
Rochester,NY,"3,766",289,827,"2,297",87,188,"1,036,499","211,611","414,600","86,815","18,787","5,788",7,2.52,1.54,2894,3.5,1.26,0.77,1887,2.28,0.82,0.5,1252,14.39,6.66,4.33,626,7.2,3.33,2.17,408,4.69,2.17,1.41
Rockford,IL,"1,320",199,613,966,96,147,"552,131","118,035","220,852","46,447","10,103","3,096",5.05,3.2,2.35,1548,2.53,1.6,1.17,1010,1.65,1.05,0.77,674,7.02,4.59,3.39,337,3.51,2.29,1.69,220,2.29,1.5,1.11
Rome,GA,733,74,229,481,16,45,"221,920","45,706","88,768","18,603","4,030","1,240",5.41,2.58,1.69,620,2.71,1.29,0.85,404,1.76,0.84,0.55,269,16.81,5.98,3.64,134,8.38,2.98,1.81,88,5.5,1.96,1.19
Royal Oak,MI,"2,781",324,858,"1,819",97,211,"556,198","117,512","222,479","46,736","10,153","3,116",3.63,1.71,1.12,1558,1.82,0.86,0.56,1016,1.18,0.56,0.37,677,6.98,3.21,2.09,338,3.48,1.6,1.04,221,2.28,1.05,0.68
Sacramento,CA,"4,381",616,"1,315","2,848",224,420,"2,076,640","403,030","830,656","173,140","37,261","11,543",8.78,4.05,2.63,5771,4.39,2.03,1.32,3764,2.86,1.32,0.86,2484,11.09,5.91,4.03,1242,5.54,2.96,2.02,810,3.62,1.93,1.31
Saginaw,MI,"2,396",208,962,"1,679",63,136,"489,824","124,235","195,930","41,948","9,316","2,797",2.91,1.67,1.17,1398,1.45,0.83,0.58,912,0.95,0.54,0.38,621,9.86,4.57,2.99,311,4.94,2.29,1.5,203,3.22,1.49,0.98
Salem,OR,487,64,154,321,10,37,"255,161","50,897","102,064","21,326","4,603","1,422",9.23,4.43,2.92,711,4.62,2.21,1.46,464,3.01,1.45,0.95,307,30.7,8.3,4.8,153,15.3,4.14,2.39,100,10,2.7,1.56
Salinas,CA,740,70,290,515,37,54,"303,247","51,843","121,299","25,017","5,315","1,668",5.75,3.24,2.25,834,2.88,1.62,1.13,544,1.88,1.06,0.74,354,9.57,6.56,5.06,177,4.78,3.28,2.53,116,3.14,2.15,1.66
Salisbury,MD,598,59,187,392,26,43,"371,513","100,254","148,605","32,045","7,174","2,136",11.42,5.45,3.57,1068,5.71,2.72,1.79,697,3.73,1.78,1.17,478,18.38,11.12,8.1,239,9.19,5.56,4.05,156,6,3.63,2.64
Salt Lake City,UT,"3,999",526,"1,804","2,902",277,402,"1,552,687","249,737","621,075","127,494","26,929","8,500",4.71,2.93,2.13,4250,2.36,1.46,1.06,2772,1.54,0.96,0.69,1795,6.48,4.47,3.41,898,3.24,2.23,1.71,585,2.11,1.46,1.11
San Angelo,TX,584,35,323,454,17,26,"126,084","26,085","50,434","10,574","2,292",705,2.18,1.55,1.21,352,1.09,0.78,0.6,230,0.71,0.51,0.39,153,9,5.88,4.37,76,4.47,2.92,2.17,50,2.94,1.92,1.43
San Antonio,TX,"6,234",747,"2,477","4,356",216,482,"2,191,766","376,149","876,706","180,868","38,439","12,058",4.87,2.77,1.93,6029,2.43,1.38,0.97,3932,1.59,0.9,0.63,2563,11.87,5.32,3.43,1281,5.93,2.66,1.71,836,3.87,1.73,1.12
San Bernardino,CA,"5,691",690,"2,125","3,908",231,460,"2,406,889","366,977","962,756","196,869","41,379","13,125",6.18,3.36,2.31,6562,3.09,1.68,1.15,4280,2.01,1.1,0.75,2759,11.94,6,4,1379,5.97,3,2,900,3.9,1.96,1.3
San Diego,CA,"6,178",802,"1,949","4,064",358,580,"3,005,567","497,077","1,202,227","247,312","52,373","16,487",8.46,4.06,2.67,8244,4.23,2.03,1.33,5376,2.76,1.32,0.87,3492,9.75,6.02,4.35,1746,4.88,3.01,2.18,1139,3.18,1.96,1.42
San Francisco,CA,"3,776",439,"1,139","2,458",203,321,"1,272,753","236,390","509,101","105,712","22,645","7,047",6.19,2.87,1.87,3524,3.09,1.43,0.93,2298,2.02,0.93,0.61,1510,7.44,4.7,3.44,755,3.72,2.35,1.72,492,2.42,1.53,1.12
San Jose,CA,"2,547",341,916,"1,731",146,244,"1,456,607","234,573","582,643","119,616","25,267","7,974",8.71,4.61,3.13,3987,4.35,2.3,1.57,2600,2.84,1.5,1.02,1684,11.53,6.9,4.94,842,5.77,3.45,2.47,549,3.76,2.25,1.61
San Luis Obispo,CA,390,54,202,296,33,44,"213,703","46,965","85,481","18,026","3,934","1,202",5.95,4.06,3.08,601,2.98,2.03,1.54,392,1.94,1.32,1.01,262,7.94,5.95,4.85,131,3.97,2.98,2.43,86,2.61,1.95,1.59
San Mateo County,CA,"1,555",198,452,"1,003",88,143,"666,874","128,195","266,750","55,554","11,944","3,704",8.19,3.69,2.38,1852,4.1,1.85,1.19,1208,2.67,1.2,0.78,796,9.05,5.57,4.02,398,4.52,2.78,2.01,260,2.95,1.82,1.31
Santa Barbara,CA,858,82,246,552,35,59,"359,828","67,153","143,931","29,899","6,408","1,993",8.1,3.61,2.32,997,4.05,1.81,1.16,650,2.64,1.18,0.76,427,12.2,7.24,5.21,214,6.11,3.63,2.61,139,3.97,2.36,1.7
Santa Cruz,CA,359,22,169,264,6,14,"229,413","39,590","91,765","18,940","4,027","1,263",7.47,4.78,3.52,631,3.73,2.39,1.76,412,2.44,1.56,1.15,268,44.67,19.14,12.18,134,22.33,9.57,6.09,88,14.67,6.29,4
Santa Rosa,CA,"1,272",93,306,789,45,69,"402,885","88,435","161,154","33,980","7,414","2,265",7.4,2.87,1.78,1133,3.7,1.44,0.89,739,2.42,0.94,0.58,494,10.98,7.16,5.31,247,5.49,3.58,2.66,161,3.58,2.33,1.73
Sarasota,FL,"1,309",159,604,957,77,118,"374,960","156,791","149,984","34,455","8,244","2,297",3.8,2.4,1.75,1148,1.9,1.2,0.88,749,1.24,0.78,0.57,550,7.14,4.66,3.46,275,3.57,2.33,1.73,179,2.32,1.52,1.13
Savannah,GA,"2,050",163,650,"1,350",55,109,"701,923","139,656","280,769","58,653","12,657","3,910",6.02,2.9,1.91,1955,3.01,1.45,0.95,1275,1.96,0.94,0.62,844,15.35,7.74,5.18,422,7.67,3.87,2.59,275,5,2.52,1.69
Sayre,PA,591,62,215,403,28,45,"153,089","36,987","61,236","13,040","2,878",869,4.04,2.16,1.47,435,2.02,1.08,0.74,283,1.32,0.7,0.48,192,6.86,4.27,3.1,96,3.43,2.13,1.55,63,2.25,1.4,1.02
Scranton,PA,782,65,324,553,31,48,"253,817","63,450","101,527","21,701","4,810","1,447",4.47,2.62,1.85,723,2.23,1.31,0.92,472,1.46,0.85,0.6,321,10.35,6.69,4.94,160,5.16,3.33,2.46,105,3.39,2.19,1.62
Seattle,WA,"4,700",651,"1,366","3,033",209,430,"2,421,217","421,176","968,487","200,017","42,565","13,334",9.76,4.4,2.84,6667,4.88,2.2,1.42,4348,3.18,1.43,0.93,2838,13.58,6.6,4.36,1419,6.79,3.3,2.18,925,4.43,2.15,1.42
Shreveport,LA,"2,468",283,"1,080","1,774",111,197,"531,003","109,269","212,401","44,508","9,640","2,967",2.75,1.67,1.2,1484,1.37,0.84,0.6,968,0.9,0.55,0.39,643,5.79,3.26,2.27,321,2.89,1.63,1.13,210,1.89,1.07,0.74
Sioux City,IA,909,59,362,635,23,41,"195,685","41,561","78,274","16,451","3,576","1,097",3.03,1.73,1.21,548,1.51,0.86,0.6,358,0.99,0.56,0.39,238,10.35,5.8,4.03,119,5.17,2.9,2.02,78,3.39,1.9,1.32
Sioux Falls,SD,"4,065",103,"1,653","2,859",52,77,"603,563","129,561","241,425","50,794","11,054","3,386",2.05,1.18,0.83,1693,1.02,0.59,0.42,1104,0.67,0.39,0.27,737,14.17,9.57,7.16,368,7.08,4.78,3.57,240,4.62,3.12,2.33
Slidell,LA,536,137,338,437,70,103,"149,492","32,656","59,797","12,602","2,748",840,2.49,1.92,1.57,420,1.24,0.96,0.78,274,0.81,0.63,0.51,183,2.61,1.78,1.34,92,1.31,0.89,0.67,60,0.86,0.58,0.44
South Bend,IN,"1,273",148,551,912,70,109,"539,539","108,077","215,816","45,112","9,742","3,007",5.46,3.3,2.36,1504,2.73,1.65,1.18,981,1.78,1.08,0.77,649,9.27,5.95,4.39,325,4.64,2.98,2.2,212,3.03,1.94,1.43
Spartanburg,SC,809,125,280,545,65,95,"300,991","64,361","120,396","25,321","5,508","1,688",6.03,3.1,2.09,844,3.01,1.55,1.04,550,1.96,1.01,0.68,367,5.65,3.86,2.94,184,2.83,1.94,1.47,120,1.85,1.26,0.96
Spokane,WA,"3,652",355,"1,657","2,655",134,245,"1,210,559","251,604","484,224","101,564","22,022","6,771",4.09,2.55,1.85,3385,2.04,1.27,0.93,2208,1.33,0.83,0.6,1468,10.96,5.99,4.14,734,5.48,3,2.07,479,3.57,1.96,1.35
Springdale,AR,"1,144",135,616,880,73,104,"437,572","77,638","175,029","36,206","7,720","2,414",3.92,2.74,2.11,1207,1.96,1.37,1.06,787,1.28,0.89,0.69,515,7.05,4.95,3.81,257,3.52,2.47,1.9,168,2.3,1.62,1.24
Springfield,IL,"2,426",213,"1,172","1,799",79,146,"637,463","146,057","254,985","53,997","11,841","3,600",3.07,2,1.48,1800,1.54,1,0.74,1174,1,0.65,0.48,789,9.99,5.4,3.7,395,5,2.71,1.85,257,3.25,1.76,1.21
Springfield,MA,"1,588",195,500,"1,044",73,134,"600,306","123,079","240,122","50,300","10,890","3,353",6.71,3.21,2.11,1677,3.35,1.61,1.06,1093,2.19,1.05,0.69,726,9.95,5.42,3.72,363,4.97,2.71,1.86,237,3.25,1.77,1.22
Springfield,MO,"2,078",226,819,"1,449",67,147,"688,462","166,812","275,385","58,662","12,952","3,911",4.78,2.7,1.88,1955,2.39,1.35,0.94,1275,1.56,0.88,0.61,863,12.88,5.87,3.82,432,6.45,2.94,1.91,282,4.21,1.92,1.25
St. Cloud,MN,898,45,227,563,16,31,"203,089","38,678","81,236","16,905","3,631","1,127",4.96,2,1.26,564,2.48,1,0.63,368,1.62,0.65,0.41,242,15.13,7.81,5.38,121,7.56,3.9,2.69,79,4.94,2.55,1.76
St. Joseph,MI,393,20,238,316,9,14,"110,235","26,066","44,094","9,368","2,062",625,2.63,1.98,1.59,312,1.31,0.99,0.79,204,0.86,0.65,0.52,137,15.22,9.79,6.85,69,7.67,4.93,3.45,45,5,3.21,2.25
St. Louis,MO,"10,187","1,180","4,326","7,257",547,864,"2,666,497","532,142","1,066,599","222,875","48,109","14,858",3.43,2.05,1.46,7429,1.72,1.02,0.73,4845,1.12,0.67,0.48,3207,5.86,3.71,2.72,1604,2.93,1.86,1.36,1046,1.91,1.21,0.89
St. Paul,MN,"1,604",183,582,"1,093",48,116,"856,536","148,362","342,614","70,734","15,046","4,716",8.1,4.31,2.94,2358,4.05,2.16,1.47,1538,2.64,1.41,0.96,1003,20.9,8.65,5.48,502,10.46,4.33,2.74,327,6.81,2.82,1.79
St. Petersburg,FL,"1,424",139,613,"1,018",33,86,"354,891","90,670","141,956","30,417","6,761","2,028",3.31,1.99,1.42,1014,1.65,1,0.71,661,1.08,0.65,0.46,451,13.67,5.24,3.24,225,6.82,2.62,1.62,147,4.45,1.71,1.06
Stockton,CA,918,121,329,623,41,81,"464,979","77,159","185,992","38,271","8,107","2,551",7.75,4.09,2.78,1276,3.88,2.05,1.39,832,2.53,1.34,0.91,540,13.17,6.67,4.46,270,6.59,3.33,2.23,176,4.29,2.17,1.45
Sun City,AZ,845,119,364,604,81,100,"237,503","104,547","95,001","22,023","5,317","1,468",4.03,2.43,1.74,734,2.02,1.22,0.87,479,1.32,0.79,0.57,354,4.37,3.54,2.97,177,2.19,1.77,1.49,116,1.43,1.16,0.97
Syracuse,NY,"3,062",243,950,"2,006",77,160,"832,908","165,881","333,163","69,604","15,021","4,640",4.88,2.31,1.52,2320,2.44,1.16,0.76,1513,1.59,0.75,0.49,1001,13,6.26,4.12,501,6.51,3.13,2.06,327,4.25,2.04,1.35
Tacoma,WA,"1,388",197,366,877,62,129,"642,251","109,410","256,900","52,969","11,249","3,531",9.65,4.03,2.54,1766,4.83,2.01,1.27,1152,3.15,1.31,0.83,750,12.1,5.81,3.81,375,6.05,2.91,1.9,245,3.95,1.9,1.24
Takoma Park,MD,"1,181",150,294,738,48,99,"789,639","122,832","315,856","64,680","13,620","4,312",14.67,5.84,3.65,2156,7.33,2.92,1.83,1406,4.78,1.91,1.19,908,18.92,9.17,6.05,454,9.46,4.59,3.03,296,6.17,2.99,1.97
Tallahassee,FL,"2,242",193,603,"1,423",50,122,"668,985","118,753","267,594","55,355","11,804","3,690",6.12,2.59,1.65,1845,3.06,1.3,0.82,1203,2,0.85,0.54,787,15.74,6.45,4.08,393,7.86,3.22,2.04,257,5.14,2.11,1.33
Tampa,FL,"4,005",515,"1,289","2,647",165,340,"1,170,264","218,181","468,106","97,231","20,837","6,482",5.03,2.45,1.62,3241,2.51,1.22,0.81,2114,1.64,0.8,0.53,1389,8.42,4.09,2.7,695,4.21,2.04,1.35,453,2.75,1.33,0.88
Temple,TX,985,162,390,688,50,106,"409,683","59,971","163,873","33,415","6,998","2,228",5.71,3.24,2.26,1114,2.86,1.62,1.13,726,1.86,1.06,0.74,467,9.34,4.41,2.88,233,4.66,2.2,1.44,152,3.04,1.43,0.94
Terre Haute,IN,468,64,207,337,37,50,"140,148","28,559","56,059","11,736","2,539",782,3.78,2.32,1.67,391,1.89,1.16,0.84,255,1.23,0.76,0.54,169,4.57,3.38,2.64,85,2.3,1.7,1.33,55,1.49,1.1,0.86
Texarkana,AR,656,90,383,519,62,76,"198,305","43,677","79,322","16,731","3,652","1,115",2.91,2.15,1.7,558,1.46,1.08,0.85,364,0.95,0.7,0.55,243,3.92,3.2,2.7,122,1.97,1.61,1.36,79,1.27,1.04,0.88
Toledo,OH,"2,679",456,"1,122","1,900",179,317,"767,671","155,817","307,068","64,264","13,898","4,284",3.82,2.25,1.6,2142,1.91,1.13,0.8,1397,1.25,0.74,0.52,927,5.18,2.92,2.03,463,2.59,1.46,1.02,302,1.69,0.95,0.66
Topeka,KS,"1,304",112,594,949,49,80,"352,693","68,579","141,077","29,411","6,331","1,961",3.3,2.07,1.5,980,1.65,1.03,0.75,639,1.08,0.67,0.49,422,8.61,5.28,3.77,211,4.31,2.64,1.88,138,2.82,1.73,1.23
Traverse City,MI,756,26,293,525,7,17,"189,619","52,436","75,848","16,404","3,685","1,094",3.73,2.08,1.45,547,1.87,1.04,0.72,357,1.22,0.68,0.47,246,35.14,14.47,9.46,123,17.57,7.24,4.73,80,11.43,4.71,3.08
Tucson,AZ,"2,677",335,"1,184","1,930",161,248,"971,119","232,066","388,448","82,624","18,212","5,508",4.65,2.85,2.06,2754,2.33,1.43,1.03,1796,1.52,0.93,0.67,1214,7.54,4.9,3.62,607,3.77,2.45,1.81,396,2.46,1.6,1.18
Tulsa,OK,"4,185",486,"1,783","2,984",159,323,"1,070,712","213,442","428,285","89,485","19,314","5,966",3.35,2,1.43,2983,1.67,1,0.71,1945,1.09,0.65,0.46,1288,8.1,3.99,2.65,644,4.05,1.99,1.33,420,2.64,1.3,0.86
Tupelo,MS,"1,634",104,818,"1,226",61,83,"308,796","61,185","123,518","25,793","5,563","1,720",2.1,1.4,1.05,860,1.05,0.7,0.53,561,0.69,0.46,0.34,371,6.08,4.47,3.57,185,3.03,2.23,1.78,121,1.98,1.46,1.16
