State,City,Percentage,Projected_Infected,Projected_Hospitalized,Projected_ICUed
KY,Lexington,0.2,238568,49724,10700
NE,Lincoln,0.2,91801,19228,4162
AR,Little Rock,0.2,242496,50992,11090
TX,Longview,0.2,32263,6764,1466
CA,Los Angeles,0.2,1574832,323312,68296
KY,Louisville,0.2,277148,57822,12458
TX,Lubbock,0.2,109292,22513,4776
VA,Lynchburg,0.2,43469,9206,2019
GA,Macon,0.2,113738,23724,5110
WI,Madison,0.2,177386,36850,7898
NH,Manchester,0.2,142936,29886,6456
NY,Manhattan,0.2,834687,172372,36678
MI,Marquette,0.2,31856,6802,1506
WI,Marshfield,0.2,59116,12577,2773
IA,Mason City,0.2,20065,4322,967
TX,McAllen,0.2,97316,19897,4181
OR,Medford,0.2,70231,15160,3398
IL,Melrose Park,0.2,206302,42716,9119
TN,Memphis,0.2,273240,56595,12087
MS,Meridian,0.2,29612,6241,1361
AZ,Mesa,0.2,227124,47196,10119
LA,Metairie,0.2,73269,15369,3333
FL,Miami,0.2,548296,114178,24544
WI,Milwaukee,0.2,415841,86242,18447
MN,Minneapolis,0.2,514071,106761,22874
ND,Minot,0.2,22487,4639,986
MT,Missoula,0.2,63018,13385,2946
AL,Mobile,0.2,129791,27230,5906
CA,Modesto,0.2,136195,28149,5996
LA,Monroe,0.2,40957,8562,1849
AL,Montgomery,0.2,72173,15005,3219
WV,Morgantown,0.2,65858,13819,2998
NJ,Morristown,0.2,159028,33210,7163
IN,Muncie,0.2,25761,5420,1180
IN,Munster,0.2,47969,9974,2140
MI,Muskegon,0.2,41901,8829,1925
CA,Napa,0.2,43701,9322,2062
TN,Nashville,0.2,456532,94550,20190
WI,Neenah,0.2,38373,8049,1745
NJ,New Brunswick,0.2,169078,35039,7488
CT,New Haven,0.2,235414,49366,10701
LA,New Orleans,0.2,110865,22813,4833
NJ,Newark,0.2,246708,50638,10694
VA,Newport News,0.2,89485,18700,4037
VA,Norfolk,0.2,204700,42203,8962
FL,Ocala,0.2,89958,20608,4918
TX,Odessa,0.2,56751,11603,2438
UT,Ogden,0.2,71200,14514,3039
OK,Oklahoma City,0.2,298297,61978,13287
WA,Olympia,0.2,64031,13515,2952
NE,Omaha,0.2,202199,42124,9060
CA,Orange County,0.2,532512,109845,23341
FL,Orlando,0.2,626187,132544,29051
FL,Ormond Beach,0.2,67776,14945,3429
KY,Owensboro,0.2,22408,4731,1034
MS,Oxford,0.2,23371,4858,1042
KY,Paducah,0.2,58045,12367,2731
CA,Palm Springs/Rancho Mira,0.2,61195,13419,3060
NJ,Paterson,0.2,62155,12951,2786
FL,Pensacola,0.2,127371,26680,5776
IL,Peoria,0.2,93814,19840,4344
MI,Petoskey,0.2,28525,6138,1371
PA,Philadelphia,0.2,666275,138601,29757
AZ,Phoenix,0.2,552218,115042,24742
PA,Pittsburgh,0.2,464834,98616,21672
MI,Pontiac,0.2,75387,15672,3362
ME,Portland,0.2,175246,36992,8082
OR,Portland,0.2,443118,92039,19724
RI,Providence,0.2,197340,41157,8863
UT,Provo,0.2,87395,17604,3630
CO,Pueblo,0.2,27710,5881,1293
NC,Raleigh,0.2,334009,68631,14513
SD,Rapid City,0.2,34718,7307,1591
PA,Reading,0.2,93383,19638,4272
CA,Redding,0.2,55236,11722,2577
NV,Reno,0.2,121191,25454,5528
VA,Richmond,0.2,281815,58564,12558
NJ,Ridgewood,0.2,67746,14117,3037
VA,Roanoke,0.2,113948,24080,5268
MN,Rochester,0.2,64073,13533,2959
NY,Rochester,0.2,207300,43408,9393
IL,Rockford,0.2,110426,23224,5052
GA,Rome,0.2,44384,9301,2015
MI,Royal Oak,0.2,111240,23368,5076
CA,Sacramento,0.2,415328,86570,18631
MI,Saginaw,0.2,97965,20974,4658
OR,Salem,0.2,51032,10663,2302
CA,Salinas,0.2,60649,12508,2657
MD,Salisbury,0.2,74303,16022,3587
UT,Salt Lake City,0.2,310537,63747,13464
TX,San Angelo,0.2,25217,5287,1146
TX,San Antonio,0.2,438353,90434,19219
CA,San Bernardino,0.2,481378,98434,20690
CA,San Diego,0.2,601113,123656,26186
CA,San Francisco,0.2,254551,52856,11323
CA,San Jose,0.2,291321,59808,12634
CA,San Luis Obispo,0.2,42741,9013,1967
CA,San Mateo County,0.2,133375,27777,5972
CA,Santa Barbara,0.2,71966,14949,3204
CA,Santa Cruz,0.2,45883,9470,2014
CA,Santa Rosa,0.2,80577,16990,3707
FL,Sarasota,0.2,74992,17228,4122
GA,Savannah,0.2,140385,29327,6328
PA,Sayre,0.2,30618,6520,1439
PA,Scranton,0.2,50763,10851,2405
WA,Seattle,0.2,484243,100009,21282
LA,Shreveport,0.2,106201,22254,4820
IA,Sioux City,0.2,39137,8226,1788
SD,Sioux Falls,0.2,120713,25397,5527
LA,Slidell,0.2,29898,6301,1374
IN,South Bend,0.2,107908,22556,4871
SC,Spartanburg,0.2,60198,12660,2754
WA,Spokane,0.2,242112,50782,11011
AR,Springdale,0.2,87514,18103,3860
IL,Springfield,0.2,127493,26999,5921
MA,Springfield,0.2,120061,25150,5445
MO,Springfield,0.2,137692,29331,6476
MN,St. Cloud,0.2,40618,8452,1815
MI,St. Joseph,0.2,22047,4684,1031
MO,St. Louis,0.2,533299,111438,24055
MN,St. Paul,0.2,171307,35367,7523
FL,St. Petersburg,0.2,70978,15209,3381
CA,Stockton,0.2,92996,19135,4054
AZ,Sun City,0.2,47501,11012,2658
NY,Syracuse,0.2,166582,34802,7511
WA,Tacoma,0.2,128450,26484,5624
MD,Takoma Park,0.2,157928,32340,6810
FL,Tallahassee,0.2,133797,27678,5902
FL,Tampa,0.2,234053,48616,10418
TX,Temple,0.2,81937,16707,3499
IN,Terre Haute,0.2,28030,5868,1270
AR,Texarkana,0.2,39661,8365,1826
OH,Toledo,0.2,153534,32132,6949
KS,Topeka,0.2,70539,14705,3165
MI,Traverse City,0.2,37924,8202,1842
AZ,Tucson,0.2,194224,41312,9106
OK,Tulsa,0.2,214142,44742,9657
MS,Tupelo,0.2,61759,12897,2782
AL,Tuscaloosa,0.2,43039,8898,1896
TX,Tyler,0.2,87436,18489,4048
IL,Urbana,0.2,72353,15059,3235
CA,Ventura,0.2,133937,27815,5959
TX,Victoria,0.2,23010,4857,1061
TX,Waco,0.2,52878,11077,2398
DC,Washington,0.2,435804,90001,19152
IA,Waterloo,0.2,33567,7067,1539
WI,Wausau,0.2,30136,6415,1415
NY,White Plains,0.2,179376,37473,8086
TX,Wichita Falls,0.2,30923,6479,1403
KS,Wichita,0.2,190343,39940,8664
PA,Wilkes-Barre,0.2,39627,8424,1856
DE,Wilmington,0.2,127424,26493,5684
NC,Wilmington,0.2,77018,16374,3607
VA,Winchester,0.2,70048,14721,3200
NC,Winston-Salem,0.2,179972,37943,8278
MA,Worcester,0.2,130477,27111,5812
WA,Yakima,0.2,44194,9170,1963
PA,York,0.2,68667,14448,3145
OH,Youngstown,0.2,98726,21117,4685
OH,Akron,0.4,219196,45867,9917
CA,Alameda County,0.4,524076,107744,22800
GA,Albany,0.4,62857,13101,2819
NY,Albany,0.4,591089,124417,27091
